clean_name,clalit,maccabi,meuhedet,leumit
'ר אוהד סגל,0,0,0,0
'ר אלוירה גור לאוטמן,0,0,0,0
'ר רון גרינברג,0,0,0,0
(nd) איגור פורטנוי,0,0,0,0
assadi.clinic ·  עומר דיאב אסדי,0,0,0,0
elite physio,0,0,0,0
enigma beauty - אניגמה ביוטי,0,0,0,0
ikon esthetics,0,0,0,0
impression by ml,0,0,0,0
liverscan clinic - בדיקת פיברוסקאן,0,0,0,0
sharon clinic - שרון קליניק,0,0,0,0
smile care - ד״ר מג'ד אבו רקיה,0,0,0,0
trust - בית לפיזיותרפיה,1,0,0,0
אבו ג׳בל תאיר,0,0,0,0
אבו חוסין היבה,0,0,0,0
אבי אדם כהן,0,0,0,0
אבי אהרונוביץ,0,0,0,0
אבי אלגום,0,1,0,0
אבי בן שבת,0,0,0,0
אבי ברכר,1,0,0,0
אבי גולדפרב,1,0,1,1
אבי כהן,0,1,1,1
אבי פלנר,0,0,0,0
אבי רשף,1,1,0,1
אבי שני,0,0,0,0
אביאל חדד,0,1,0,0
אביב גור,0,0,0,0
אביבית שוהם,0,0,0,0
אביגיל אלקס דבי,0,0,0,0
אבידן לרון - מרכז מומחים לרון,0,0,0,0
אביה רוזנטל,0,0,0,0
אביטל אבריאל,0,1,0,1
אביטל גלאובך,0,0,0,0
אביטל יוסף,0,0,0,0
אביעד גרביץ,1,0,0,0
אביעד הדר,0,0,0,0
אביעד הופמן,0,0,0,0
אביעד וילנסקי,0,0,0,0
אביקם הראל,1,0,1,1
אבירם זיילר,0,0,0,0
אבירם מאיר - מרפאות טיפול בחיוך,0,0,0,0
אבישי וינברגר,0,0,0,0
אבישי שטל-אלטמן,0,0,0,0
אבנר בר דיין,0,1,0,0
אבנר הוסטובסקי,1,1,0,1
אבנר חורי,0,0,0,0
אברהם אברג'ל,0,0,0,0
אברהם אלטרגוט,1,1,1,1
אברהם אמיר,0,0,0,0
אברהם לוי,0,0,0,0
אברהם פינקלמן,0,0,0,0
אברהם צצשוילי,1,0,0,1
אברי רווה,0,0,0,0
אדוארדו שכטר,0,1,0,0
אדווה מנסורה,1,0,1,0
אדים ראבי,0,0,0,0
אדם אבו עביד,0,1,0,0
אדם ארנרייך,0,1,0,0
אדם דלאל,0,0,0,0
אדם לאוב,0,0,0,0
אדם פינחסוב,0,0,0,0
אדם פרקש,0,0,0,0
אדמית בן חיים קדוש,0,0,0,0
אדנטיקה סמייל - adentica smile,0,0,0,0
אדריאן טודור,0,0,0,0
אדריאנה דל גיגליו,0,0,0,0
אהוד (אודי) רייך,0,0,0,0
אהוד ברג,0,0,0,0
אהוד גנסין,0,0,0,0
אהוד גרינשטין,0,1,0,0
אהוד דרוקר,0,0,0,0
אהוד זיגמונד,0,0,0,0
אהוד מילר,0,1,0,1
אהוד רוזיצקי,0,0,0,0
אהוד רז,0,0,1,0
אהרון בני nd r.na,0,0,0,1
אהרון ליברזון,0,0,0,0
אהרון מדינה,1,1,0,0
אהרון עמיר,0,0,0,0
אוֹרָן צומן,0,0,0,0
אואנה מאייר,0,0,0,0
אודי ארגז,1,1,0,0
אודי ארד,0,0,0,0
אודי גרימברג,0,0,0,0
אודי חורין,0,0,0,0
אודי מאור,1,1,0,0
אוהד בן נון,0,1,0,0
אוהד בן צבי,0,0,0,1
אוהד ברוכין,0,0,0,0
אוהד כץ,0,0,0,0
אוהד עזרא,0,0,0,0
אוהד שושני,0,0,0,0
אוהד שחר,0,0,0,0
אוהד תומר,0,0,0,0
אווה דדוש,1,1,0,0
אולג דוחנו,0,0,0,0
אולג לוי,0,1,0,0
אולגה איילה פורר,0,0,0,0
אולגה בסאילוב,0,0,0,0
אולגה ברקאי,0,0,0,0
אולגה ניקולאיבסקי,0,0,0,0
אולגה פקר,0,0,0,0
אולגה צ'רניאק,0,0,0,0
אולגה קפוש,0,1,1,0
אולה גוטצייט,0,0,0,0
אולחוב ז'אנה,0,1,0,0
אוליבר קרייגר,0,0,0,0
אוליסיה ראוכורגר,0,0,0,0
אולסיה פרולוב,0,0,0,0
אוסאמה ג׳רוס,0,0,0,0
אוסאמה כמאל,0,0,0,0
אוסנת אלישיב,0,1,0,0
אופיר אורי,0,0,0,0
אופיר אלאלוף,0,0,0,0
אופיר בן-גל,0,1,0,0
אופיר בן-ישי,0,1,0,0
אופיר וסיאל פרומוביץ׳,0,0,0,0
אופיר לוי,0,0,0,0
אופיר ליבנה,0,0,0,0
אופיר מורג,0,0,0,0
אופיר פז,1,1,0,0
אופיר שיר-עז,0,0,0,0
אופירם אלישע,0,1,1,1
אוקסנה גרשנוב,0,0,0,0
אוקסנה נייזוב,0,0,0,0
אוקסנה פינקל,0,0,0,0
אור דלח,0,0,0,0
אור יריב,1,0,0,1
אור כרמי,0,0,0,0
אור להב מיה,0,0,0,0
אור עמית,0,0,0,0
אור תומר,1,1,1,1
אוראל עסיס יוסף,0,0,0,0
אורגד רוזנבלט,0,0,0,0
אורון מדרסים בע״מ,0,0,0,0
אורי איל,1,1,1,1
אורי איתן,0,0,0,0
אורי אלקן,0,0,0,1
אורי ארליך,0,0,0,0
אורי ברגר,0,0,0,0
אורי ברלינר,0,1,1,1
אורי גור,0,1,0,0
אורי הוכברג,0,0,0,0
אורי וטורי,0,0,0,0
אורי חדש,0,1,1,1
אורי לינדנר,1,0,1,0
אורי ניצן,0,0,0,0
אורי פלג,1,1,0,1
אורי פרקש,1,0,1,1
אורי קינן,0,0,0,0
אורי שולמן,0,0,0,0
אורי שייר,0,1,1,0
אוריאל אבידן,0,0,0,0
אוריאל גיבנבר,0,0,0,0
אוריה מורן,0,0,0,0
אורית גולן,0,0,0,0
אורית סמואל,0,0,0,0
אורית קרני רחקוביץ',0,0,0,0
אורית שכטר,0,0,0,0
אורית שקרצי-עמר,0,0,0,0
אורלי אלדר פרידמן,1,1,1,0
אורלי ליאור,0,0,0,0
אורלי פוזאילוב,0,0,0,0
אורלי שפירא,0,0,0,0
אורן אלדר,0,0,0,0
אורן בן לולו,1,1,1,1
אורן בנימיני,0,0,0,0
אורן גולדן,0,0,0,0
אורן גולדשטיין,1,0,0,0
אורן גל,0,0,0,0
אורן ויסמן,0,0,0,0
אורן זלוטניק,0,0,1,0
אורן כץ,0,0,0,0
אורן מונבז,0,0,0,0
אורן עובדיה,0,0,1,0
אורן פרדמן,0,0,0,0
אורן צביאלי,1,0,1,0
אורן שכטר,0,0,0,0
אורנה אפשטיין,0,0,0,1
אורנה כץ קדוש,0,0,0,0
אורנה לוינסון-תבור,0,0,1,0
אורנה לנדאו דה שליט,0,0,0,0
אורנה מירמוביץ,0,0,0,0
אורנלה אפלשטיין,0,0,0,0
אושר כהן,1,0,0,1
אושרי בראל,0,1,0,0
אושרי וסרצוג,0,0,0,0
אושרית ברט שיינין,0,0,0,0
אושרת קסטל,0,0,0,0
אחיה אמיר,0,0,0,1
אחיהוד בנדט,0,0,0,0
אחמד אבו אליונס,0,0,0,0
אחמד אסדי,0,0,0,1
אחמד ג'מהור,1,1,1,1
אחמד ספדי,0,0,1,0
אחמד שהואן,0,0,0,0
אחמט נמזוב,0,0,0,0
איאד אבו חוסין,0,0,0,0
איברהים בסול,0,0,0,0
איגור גרש,1,1,1,0
איגור דובקין,0,0,0,0
איגור יגוב,1,1,0,0
איגור מנביץ',1,1,1,0
איגור נימרובסקי,0,0,0,0
איגור קזנסקי,0,1,0,1
איגור קלמן,0,0,0,0
איהאב סיאם,0,0,0,0
איהם מסארוה,0,0,0,0
איזבלה יפרמנקו-יוסים,0,0,0,0
אייל אטלני,0,0,0,0
אייל אקרמן,0,0,0,0
אייל גנסין,0,1,0,0
אייל הלר,0,0,0,0
אייל הנדלר,0,1,0,0
אייל זיפמן,0,0,0,0
אייל חסידים,0,1,1,0
אייל כהן,0,0,1,0
אייל מלכה,0,0,0,0
אייל מעוז הלוי,0,0,0,0
אייל מרכדו,0,0,0,0
אייל רוזנטל,0,0,0,0
אייל רום,0,1,0,0
אייל רמו,0,1,0,0
אייל שפירא,0,0,0,0
איילת אולך,0,0,0,0
איילת דנגוט,0,0,0,0
איילת מדברי,0,1,0,0
איילת שי,0,0,0,0
איימן שיבאן,0,0,0,0
איל ביז'אוי,0,0,0,0
איל בן בסט,0,0,0,0
איל ברבלק,0,1,1,1
איל זוהב זגדנסקי,0,0,0,0
איל יעקבי,0,1,1,0
איל קליינהנדלר,0,0,0,0
איל רוסו,0,0,0,1
אילה אולמר,1,0,0,0
אילה שפירר וייל,0,0,0,0
אילון להט,0,0,0,0
אילי ליוס,0,0,0,0
אילי קייס,0,0,0,0
איליה טרחטנברוייט,0,0,0,0
איליה ליטובצ'יק,0,0,0,0
איליה מושייב,0,0,0,0
איליה מסלקוב,0,0,0,0
איליה פרוסו,1,1,1,0
אילן אליה ויינר,0,0,0,0
אילן בלאו,0,0,0,0
אילן וולקוב,0,0,0,0
אילן וסרמן,0,1,0,0
אילן זהבי,1,0,0,1
אילן מדר,0,0,0,0
אילן פלדמן,0,1,1,1
אילן פריאל,0,0,0,0
אילן קליין,1,1,0,0
אילן קנט,0,0,0,0
אילנה האס,1,1,0,0
אילת פריאל,0,1,0,0
אימפקט קליניק,1,0,0,0
אינאס צפורי,0,0,0,0
אינה בלייכר,0,0,0,0
אינה המר לוין,0,0,0,0
אינה לוין,0,0,0,0
אינה סדצקי,0,0,0,0
אינה סלבוטסקי,0,1,0,0
אירה פלוטניק,0,0,0,0
אירינה פיינברג,0,1,0,1
איריס יעיש,0,0,0,0
אירית קופרשמיט,0,0,0,0
אירית שחם,0,0,0,0
אירמה ואן דה פיש,0,0,0,0
אירנה אלון,0,0,0,0
אירנה ז'יבליוק,0,0,0,0
אירנה קלדס,0,0,0,0
אירנה שטיין,0,0,0,0
איתי אופיר,0,0,0,0
איתי ביאר,0,0,0,0
איתי הולצר,1,0,1,0
איתי ורדי,0,0,0,0
איתי זאבי,0,0,0,0
איתי זילברמן,0,0,0,0
איתי יגל,0,0,0,0
איתי לביא,1,1,1,1
"איתי סבלר, מנהל יחידה",0,0,0,0
איתי סקורניק,0,0,0,0
איתי פלג,0,0,0,0
איתי רון גל,0,0,0,0
איתי שגיא,1,0,0,0
איתי שוורץ,0,0,0,0
איתי שטרנברג,1,0,1,0
איתי שיין,0,0,0,0
איתי שקולניק,0,0,0,0
איתמר גנמור,0,0,0,0
איתמר זילברמן רון,0,0,0,0
איתמר פלדמן,0,0,0,0
איתמר רוזן,0,0,0,0
איתן בלומר,0,0,0,0
איתן ברמן,0,0,0,0
איתן הלדנברג,0,0,0,0
איתן טובי,0,0,0,0
איתן סביר,0,0,0,0
אלאייב עמנואל,0,0,0,0
אלגית ישורון,0,0,0,0
אלדד אדלר,0,0,0,1
אלדד כץ,0,0,0,0
אלדד שרון,0,0,0,0
אלדר ברקוביץ,0,0,0,0
אלדר וולפרט,0,0,0,0
אלדר כרמל,0,0,0,0
אלדר רוזנפלד,0,0,0,0
אלה אגוזי-המרכז לרפואת עור ואסתטיקה,0,0,0,0
אלה גורדון,0,0,0,0
אלה לוקיץ,0,0,0,0
אלה ממלין,0,0,0,0
אלה קוזמינסקי,0,0,0,0
אלה רוזנטל,0,0,0,0
אלווירה (אלה) קוברינסקי,0,0,0,0
אלון בורג,0,0,0,0
אלון ברקוביץ,0,0,0,0
אלון דוידזון,0,0,0,0
אלון הימן,0,0,0,0
אלון זיידמן,0,0,0,0
אלון טור,0,0,0,0
אלון טל,0,1,1,0
אלון לירן,0,0,0,0
אלון מנשה ראובני,1,0,0,0
אלון מרקוביץ,0,0,0,0
אלון סטפנובסקי,0,0,0,0
אלון קובו,0,0,0,0
אלון רם,0,0,0,0
אלון שלב pain clinic,0,0,0,0
אלון שניידר nordica clinic,0,0,0,0
אלונה יעקובי,0,0,0,0
אלחנדרו זובריסקי – פיזיותרפיסט מוסמך | recovery tlv,1,0,0,0
אלטייב אגבאריה,1,0,0,0
אלי דולב,0,0,0,0
אלי דריזין,0,0,1,0
אלי סידון,1,1,0,0
אלי ספיר,0,0,1,1
אלי פרנצלאו,0,0,0,0
אלי קקיאשוילי,1,0,1,0
אלי רוזנפלד,0,0,0,0
אליאס חדאד,1,1,0,0
אליאס חילו,1,0,1,1
אליאס מזאוי,0,1,0,0
אליאס מטאנס,0,1,1,0
אליאס מנסא,0,1,0,0
אליהו אליאב,0,0,0,0
אליהוא הופמן,0,0,0,0
אליזה טיומני,0,0,0,0
אלינה ואטמאכר,0,0,1,0
אלינה לוזינסקי,0,0,0,0
אלינה סגל,0,0,0,0
אליסון זרומב,0,0,0,0
אליק אהרוני - מכון מבט אולטרסאונד רפואי,0,0,0,0
אליק רוזנפלד,0,1,1,0
אלירן יעקבי,0,0,0,0
אלישע פרדמן,0,0,0,0
אלכס אברמסון,0,0,0,0
אלכס בבין,0,0,0,0
אלכס בושוי,0,1,1,0
אלכס ברודסקי,0,0,1,0
אלכס ברמנט,0,1,0,0
אלכס לבנברג,0,0,0,0
אלכס לוונטל,1,1,0,0
אלכס סוצקובר,0,0,1,1
אלכס פרוצנקו m.sc.pt - פיזיותרפיה ושיקום ביתי ממוקד תוצאות,1,0,0,1
אלכס קפלן,0,0,0,0
אלכס קראוטהמר,0,0,0,0
אלכס רבינוביץ,1,1,0,0
אלכסיי חייטון,0,0,0,0
אלכסיי רוביצקי,0,1,1,0
אלכסנדר בלינקי,0,0,0,0
אלכסנדר גרניאק,0,0,0,0
אלכסנדר חייפץ,1,1,0,1
אלכסנדר חייקין,0,0,0,0
אלכסנדר למברג,0,0,0,0
אלכסנדר מאליי,0,0,0,0
אלכסנדר מגזניק,0,0,0,0
אלכסנדר ספיבק,0,0,0,0
אלכסנדר קובל,0,1,0,0
אלכסנדר קוריטני,0,0,0,0
אלכסנדרה ביתן,0,0,0,0
אלכסנדרה בראון,0,0,0,0
אלכסנדרה גרינברג,0,0,0,0
אלמוג בן יעקב,0,0,0,0
אלמוג לוי,0,0,0,0
אלמוג סלוקי,0,0,0,0
אלן ביליג,0,0,0,0
אלן ענר,0,0,0,0
אלנה דיקופולצב,0,0,0,0
אלעד מרום,0,0,0,0
אלק איצקזון,0,0,0,0
אלקסיה בוקריס טולדנו,0,0,0,0
אלקסיס קרלין,0,0,0,0
אמאנדא ספורי,0,0,0,0
אמג'ד ח'ורי,0,0,0,0
אמג'ד חמד,0,0,0,0
אמג׳ד ביידוסי,1,1,1,1
אמיל דאמוני,0,0,0,0
אמין בוחארי,0,0,0,0
אמין ביאדסה,0,1,0,0
אמין מטאנס,0,0,0,0
אמין שעלאן,0,0,0,0
אמיר אורון,1,0,0,1
אמיר אמיתי,1,0,1,1
אמיר אקדם,0,0,0,0
אמיר אשדות,0,0,0,0
אמיר אשקר,0,0,0,0
אמיר ביאדסה,0,0,0,0
אמיר בן טוב,0,1,1,1
אמיר גרה,0,0,0,0
אמיר דגן,0,0,0,0
אמיר השרוני,1,1,1,0
אמיר וינטראוב,1,1,1,1
אמיר ויס,1,0,0,0
אמיר חדייר,0,1,1,1
אמיר חיים אליהו,0,0,0,0
אמיר חמד,0,0,0,0
אמיר טנאי,1,0,0,0
אמיר לביא,0,0,0,0
אמיר מנאע,0,0,0,0
אמיר סוכר,0,0,0,0
אמיר עבד אלקאדר,0,0,1,0
אמיר עובדיה,0,0,0,0
אמיר עינבל,0,0,0,0
אמיר קורן,0,0,0,0
אמיר קליין,0,0,0,0
אמיר שטרנהיים,0,0,0,0
אמיר תותרי,0,0,0,1
אמנון איתן,0,0,0,0
אנבל ארון מאור,0,0,0,0
אנג'י ארשיד,0,0,0,0
אנג'ליקה אבו וסאל,0,0,0,0
אנדי בויאנג'ו,0,0,0,0
אנדרה וייסמן,0,0,0,0
אנדרו פינק,0,1,1,1
אנדרי אופק,0,1,0,0
אנדרס סילברפיש,0,0,0,0
אנה אהרונוביץ,0,0,0,0
אנה אידלסון,1,1,0,0
אנה אשכול,0,0,0,0
אנה בלכר,1,0,1,0
אנה זיידין,0,0,0,0
אנה זנקוביץ׳,0,0,0,0
אנה ירפולוב,0,0,0,0
אנה פוליאקובה,0,0,0,0
אנה פטרוסב,0,0,0,0
אנה קונצביץ׳,0,0,0,0
אנה שחם,0,0,0,0
אנואר מנסור,0,0,0,0
אנטולי סימנובסקי‎,0,0,0,0
אנטון וול,0,0,0,0
אנטון וורשבסקי,0,0,0,0
אנטון קבאשה,0,0,1,0
אנטוני נפתלי,0,0,0,0
אני ארוטוניאן,0,0,0,0
אניה וקסלר פייגין,0,1,1,1
אניס כלדאוי,1,1,1,0
אנסטסיה דמיחובסקיה,0,0,0,0
אסדי עלי,0,0,0,0
אסותא אופטיק,1,1,1,1
אסי מילויצקי,0,0,0,0
אסנת גדליה מעין,0,1,0,0
אסנת גרינשטיין-קורן,0,1,0,0
אסנת וונדי,0,0,0,0
אסנת זמורה-בלוססקי,0,0,0,0
אסנת רזיאל,0,1,1,1
אסעד אליאס,0,0,0,0
אסעד דראושה,1,0,1,0
אסעד חורי,1,0,0,0
אסף אולשינקה,0,0,0,0
אסף אורן,0,0,0,0
אסף אלבגלי,0,1,1,0
אסף אפשטיין,0,0,0,0
אסף ארז,0,0,0,0
אסף בוגן,0,0,0,0
אסף ביבס,0,0,0,0
אסף בר,0,1,0,0
אסף יששכר,1,0,0,0
אסף לבנון,1,0,0,0
אסף עזרא-יעל,0,0,0,0
אסף פרסיץ,0,0,0,0
אסף שלי,0,0,0,0
אסף שליבקוביץ,0,0,0,0
אסתי דנוס,1,0,0,0
אסתי כהן,0,0,0,0
אסתר כהן הרשקוביץ,0,0,1,0
אסתר ליפסקר,0,0,0,0
אסתר רובינראוט,0,1,0,1
אפי גבריאלוב,0,0,0,0
אפי כזום,1,1,0,0
אפי שרלין,0,0,0,0
אפיק - מכון רנטגן דנטלי,0,0,0,0
אפרים ברקו,0,1,0,0
אפרים כץ,0,0,0,0
אפרת בר אילן,0,0,0,0
אפרת ויזל,0,0,0,0
אפרת חדי,0,0,0,0
אפרת חיה קופראק,0,0,1,0
אפרת פלייסיג,0,1,0,1
אפרת שמואלי,0,0,0,0
אפרת שפיגל,1,0,0,1
אראל יפה   -   erel joffe md,0,0,0,0
אראם כיואן - מרכז בדיקות לסחרחורת ושיווי משקל balance labs,0,0,0,0
ארז ירדן,1,1,1,0
ארז לוי,0,0,0,0
ארז מרקוסון,0,0,0,0
ארז רמתי,0,1,0,0
ארי גליקמן,0,0,0,0
ארי מוסנקיס,0,0,0,0
ארי רייס,0,1,0,0
ארי רפאל,0,0,0,0
ארי שרון,0,0,0,0
אריאל אביב,0,0,0,0
אריאל אורן,0,0,0,0
אריאל ארבל,0,0,0,0
אריאל בנסון,1,0,1,0
אריאל בר,0,0,0,0
אריאל גולן,0,0,0,0
אריאל גימפל,0,0,0,0
אריאל זילברליכט,1,1,0,1
אריאל זיסמן,0,0,0,0
אריאל טיסונה,0,0,0,0
אריאל טננבאום,0,0,0,0
אריאל מרגוליס,0,0,0,1
אריאל ניימן,0,1,1,0
אריאל פולונסקי,0,1,0,0
אריאל פורמן,0,1,0,1
אריאל שאמי,1,1,0,0
אריאלה הפנר,1,0,1,1
אריאלה פורטנוי הידש,0,0,0,0
אריה גורדין,0,1,1,0
אריה גרובר,0,0,0,0
אריה גרינברג,1,1,0,0
אריה יפה,0,0,0,0
אריה שטבון,0,0,0,0
אריק בראל,0,0,0,0
אריק זרצקי,0,0,0,0
אריק ליטוין,0,0,0,0
אריק מובשוביץ,0,0,0,0
אריק רמר,0,0,0,0
אריקה כהן,0,0,0,0
אריקה ששון,0,0,0,0
ארנולד ליבשיץ,0,0,0,0
ארנון אגמון,0,0,0,0
ארנון בורנשטיין,0,0,0,0
ארנון קורן,1,0,0,0
ארנסטו שכנר,0,0,0,0
ארקדי אברהם רחמנוב,0,0,0,0
ארקדי גנדלמן,0,0,0,0
ארקדי פלדמן,0,0,0,0
ארתור קרנר,0,0,0,0
אשקר מגדי,0,0,0,0
אשרף ח'אטר,1,0,1,1
אשרף תמימי,1,1,1,1
אשרת טייר-שיפמן,0,0,0,0
אשרת רביב,0,0,0,0
אתגר שילה,0,0,0,0
אתי פיורה,0,0,0,0
אתי שפיגל,0,0,0,0
באדר עבד אלחלים,0,0,0,0
באסל בראנסה,0,0,0,0
באסל גבארין,0,1,0,0
באסל חטיב,0,0,0,0
בדיקת ct,0,0,0,0
בדיקת mri,0,0,0,0
בדיקת pet-ct,0,0,0,0
בדיקת מיפוי עצמות (spect),0,0,0,0
בדיר עבדול עזיז,0,0,0,0
בדראן בדראן,1,1,1,0
בהא חאג' יחיא,0,0,0,0
בהא חלבי,0,0,0,0
בהאא סיאם,0,0,0,0
בועז גרנות,1,0,0,0
בועז ליברמן,0,1,1,1
בוריס פרידמן,0,0,0,0
בוריס צ'וטקו,0,0,0,0
ביאדר בלאל,1,0,0,0
ביאנקה רוזנברג-הגן,0,0,0,0
ביוטק סמייל - biotec smile,0,0,0,0
בינה כהן סחר,0,1,0,0
בינה קישנר,0,0,0,0
בינימין רוזן,0,1,0,1
בכר ג'ואברה,0,0,0,0
בכר עסלי,0,0,0,0
בלה קויפמן,0,0,0,0
בן עמית,0,0,0,0
בן פריסט,0,0,0,0
בן שדה,0,0,0,0
בנדר בנימין,0,1,1,0
בני ברנט,0,0,0,0
בני וגנר,0,0,0,0
בני עוז ארי,0,0,0,0
בני פיינר,1,1,0,1
בני פרדמן,0,0,0,0
בני צוקרמן,0,1,0,0
בנימין ארונוף,0,0,0,0
בנימין ברנפלד,1,1,1,1
בנימין הלוי,1,0,0,0
בנימין פדידה,1,0,1,0
בנימין קיש,1,0,1,1
בנימין רסקין,0,0,0,1
בנימין שטרן,1,1,1,1
בסאילוב טל,0,0,0,0
בעז אלעד,0,0,0,0
בעז שיזף,1,1,1,1
ברוך הלל,0,0,0,0
ברונו קריינר,0,0,0,0
ברי,0,0,0,0
ברי אושרין,0,0,0,0
ברי דנינו,0,0,0,0
ברנרד (ברוך) דוידוביץ,1,0,0,0
ברנרד דהן,0,0,0,0
ברנרדו מלמוד,0,1,1,0
ברק בר זכאי,0,1,1,1
ברק לוריא,0,0,0,0
ברק סטוצ'ינר,1,0,0,0
ברק רינת,1,1,0,0
בשארה הלון,0,0,0,0
בשיר חדאד,0,0,0,0
בת שבע מרקוס,0,0,0,0
ג'ואד עאבד,0,0,0,0
ג'ונא חכים,0,0,0,0
ג'וניה אלשיק,1,0,1,1
ג'ורג גרינברג,0,1,0,0
ג'ורג' סאבא,0,0,0,0
ג'יי מדיקל מכון eeg,0,0,0,0
ג'יימס שאול,1,0,0,0
ג'יריס שחאדה,0,0,0,0
ג'ניפר קפלן,0,0,0,0
ג'רי כהן,0,0,0,0
ג'רמי בן-שושן,0,0,0,0
ג'רמי מולד,0,0,0,0
ג'רמי נידם,0,0,0,0
גבי הרן,0,1,0,0
גבי שמש,1,0,1,0
גבע לנדאו,0,0,0,0
גבריאל גוטמן,0,0,1,0
גבריאל גל,0,0,0,0
גבריאל ליכטנשטיין,0,0,0,0
גבריאל סמל,0,0,0,0
גד ולן,1,1,0,1
גד לוטן,0,1,1,1
גד מרום,1,1,1,1
גד נוימן,1,0,0,0
גדי אלגר,0,0,0,0
גדי אלון,0,0,0,0
גדי בן שטרית,0,1,0,0
גדי צוינגל,0,0,0,0
גדי שלומאי,0,0,0,0
גדי שניידר,0,0,0,0
גדעון בורשטין,0,0,0,0
גדעון סרוקה,0,0,0,0
גדעון פול,0,0,0,0
גוברין,0,0,0,0
גולדה גרינבלט,0,0,0,0
גוליאן אנקווה,0,0,0,0
גונן סיבוני,0,0,0,0
גור בן יהודה,0,1,0,0
גיא אלמוג,0,0,0,0
גיא ביבי,1,0,0,0
גיא בר משה,0,0,0,0
גיא גוטמן,0,0,0,0
גיא הס,0,0,0,0
גיא לוי,0,0,0,0
גיא מעוז,0,1,1,0
גיא מרסיאנו,1,1,0,0
גיא נחמני,0,0,0,0
גיא סיאני,0,0,0,0
גיא פייגין,1,1,0,0
גיא פלדמן,0,0,0,0
גיא פרידמן,0,0,0,0
גיא פררו,0,0,0,0
גיא קארו - סיגל,0,0,0,0
גיא רסנר,0,0,0,0
גיא שלום,0,0,0,0
גיא שרים,0,0,1,0
גיא תם,0,1,1,0
גידי פייט,0,0,0,0
גיל באר,0,0,0,0
גיל בן יעקב,0,0,0,0
גיל גנוט,1,1,0,0
גיל גנות,1,0,0,0
גיל ירושלמי,1,0,0,0
גיל לאופר,0,0,0,0
גיל להב,0,0,0,1
גיל סלוצקי,0,0,0,0
גיל פומפ,0,0,0,0
גיל פיכמן,0,1,0,0
גיל פרץ,0,1,1,0
גיל רחניאן,0,0,0,0
גיל רפלוביץ,0,0,0,0
גיל רצ’בסקי,0,0,0,0
גיל שכטר מאור,1,0,0,0
גילה נלקנבאום איזמן,0,0,0,0
גילי ברק אסלנוב,0,0,0,0
גילי טסלר,0,1,0,1
גל אבישי,0,0,0,0
גל ברקאי,1,1,1,1
גל גרוס,0,0,0,0
גל וינריב,0,0,0,0
גל ולנשטין,0,0,0,0
גל מיכאלי-גלר,0,0,0,0
גל רינות מזרחי,0,0,0,0
גלב מוצ'לוב,0,1,0,1
גלי בוך,0,0,0,0
גלי גרמי,0,0,0,0
גלי זיסמן,0,0,0,0
גלי פרוינד,0,0,0,0
גליה לוי,0,0,0,0
גלינה קופרבלום,0,0,0,0
גלינה רוסטמי,0,0,0,0
גלית אבינועם דר,0,0,0,0
גלית ישראלי,0,0,0,0
גלית לבנת-לבנון,1,1,0,0
גלית שניר,0,0,0,0
גלעד בר דיין,0,0,0,0
גלעד דביר,0,0,0,0
גלעד חמדני,0,1,0,1
גלעד ליבשיץ,1,1,1,0
גלעד פילמר,0,1,0,0
גלעד פיסקוס,0,0,0,0
גלעד קרסנטי,1,0,0,0
גנדי ביטמן,0,0,0,0
גנדי שנדלר,0,0,0,0
גניה אהרון חננאל,0,0,0,0
גנסיס קליניק -  גיא בק,0,0,0,0
גסאן עמל,0,0,0,0
גסן איממלייב,0,0,0,0
גרגורי גולבצ'ינר,1,1,0,0
גרגורי קרפ,0,0,0,0
גרה נשאת,0,0,0,0
גרמן קריידרמן,0,0,0,0
ג׳קלין טרדכמן,0,0,0,0
ג׳רמי לגרנז׳,0,0,0,0
דאיזדה איזק,1,1,1,0
