moh_name,med_name,moh_specialty,med_specialty,spec_match
ברבלק איל,"ד""ר איל ברבלק",כירורגיה אורתופדית,אורתופדיית עמוד שדרה,False
לאופר גיל,"ד""ר גיל לאופר",כירורגיה אורתופדית,אורטופד,False
אורון אמיר,"ד""ר אמיר אורון",כירורגיה של היד,כירורגיה של היד,True
אורי אופיר,"ד""ר אופיר אורי",כירורגיה אורתופדית,כירורגיה אורתופדית,True
סלע ירון,"ד""ר ירון סלע",כירורגיה אורתופדית,"כירורגיה אורתופדית, כירורגית כף יד",True
חדש אורי,"ד""ר אורי חדש",כירורגיה אורתופדית,כירורגיה אורתופדית,True
משען נדב,פרופ' נדב משען,יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
ברקוביץ ירון,"ד""ר ירון ברקוביץ",כירורגיה אורתופדית,אורתופדיה,False
אגמון ארנון,"ד""ר ארנון אגמון",יילוד וגינקולוגיה,אולטרסאונד במיילדות גינקולוגיה ופריון,False
פרל ליאור,פרופ' ליאור פרל,רפואה פנימית,"רפואה פנימית, קרדיולוגיה",True
מעוז גיא,"ד""ר גיא מעוז",כירורגיה אורתופדית,כירורגיה אורטופדית,False
ארמון נעם,"ד""ר נעם ארמון",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
ברוכים אילן,פרופ' אילן ברוכים,יילוד וגינקולוגיה,"יילוד וגינקולוגיה, רפואת נשים",True
לובובסקי עמרי,"ד""ר עמרי לובובסקי",כירורגיה אורתופדית,"החלפת מפרקים, אורתופדיה",False
פרידמן בוריס,"ד""ר בוריס פרידמן",כירורגיה אורולוגית,אורולוגיה כירורגית,False
רובינראוט אסתר,"ד""ר אסתר רובינראוט",כירורגיה של היד,אורטופדיה,False
חוראני ניזאר,"ד""ר ניזאר חוראני",נוירולוגיה,נוירולוגיה,True
יוטקין ולדימיר,"ד""ר ולדימיר יוטקין",כירורגיה אורולוגית,כירורגיה אורולוגית,True
חדי אפרת,"ד""ר אפרת חדי",יילוד וגינקולוגיה,רפואת נשים,False
דבי רונן,פרופ' רונן דבי,כירורגיה אורתופדית,החלפות מפרקים - ברכיים וירכיים,False
חדד ערן,"ד""ר ערן חדד",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
אטינגר מיכאל,"ד""ר מיכאל אטינגר",קרדיולוגיה,רפואת שיניים,False
פרנקין יוליה,"ד""ר יוליה פרנקין",,רפואה אסתטית,False
ויסמן אורן,"ד""ר אורן ויסמן",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
פרידמן גיא,"ד""ר גיא פרידמן",כירורגיה אורתופדית,"רפואת שיניים - בוגר ביה""ס לרפואת שיניים באוניברסיטת תל אביב",False
חי נועם,"ד""ר נועם חי",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
לפידוס לב,"ד""ר לב לפידוס",כירורגיה אורתופדית,אורטופדיה,False
רויבורט משה,"ד""ר משה רויבורט",יילוד וגינקולוגיה,טיפולי פוריות והפריה חוץ גופית,False
שפירא עמוס,"ד""ר עמוס שפירא",יילוד וגינקולוגיה,"פלסטיקה ואגינלית, גניקולוגיה ומיילדות",False
ליטובצ'יק איליה,"ד""ר איליה ליטובצ'יק",רפואה פנימית,קרדיולוגיה,False
ריסין ירון,"ד""ר ירון ריסין",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית ואסתטית,True
הנדלר ישראל,"ד""ר ישראל הנדלר",יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
קליין הילה,"ד""ר הילה קליין",רפואת המשפחה,כירורג פה ולסת,False
מנספלד דפנה,"ד""ר דפנה מנספלד",רפואה פנימית,רפואה פנימית,True
טיסונה אריאל,"ד""ר אריאל טיסונה",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
וולף יורם,"ד""ר יורם וולף",יילוד וגינקולוגיה,כירורגיה פלסטית,False
הדס דן,"ד""ר דן הדס",קרדיולוגיה ילדים,"קרדיולוגית ילדים, רפואת ילדים, הפרעות קצב ילדים, קרדיולוגיית ספורט והפרעות קצב בספורטאים",False
פורמן אריאל,"ד""ר אריאל פורמן",כירורגיה אורתופדית,אורתופדיה החלפת מפרקים,False
שינמן רון,"ד""ר רון שינמן",יילוד וגינקולוגיה,"אנדומטריוזיס, כירורגיה גינקולוגית",False
הלר ליאור,פרופ' ליאור הלר,כירורגיה כללית,כירורגיה פלסטית ואסתטית,False
מילט ערן,"ד""ר ערן מילט",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
זיידר ניר,"ד""ר ניר זיידר",מחלות עיניים,רפואת עיניים,False
פוקס שמואל,פרופ' שמואל פוקס,רפואה פנימית,קרדיולוגיה,False
אטון אהוד,פרופ' אהוד אטון,כירורגיה אורתופדית,כירורגיה אורתופדית,True
גרפי שמואל,"ד""ר שמואל גרפי",מחלות עיניים,עיניים,True
אמיר משה,"ד""ר משה אמיר",,רפואה אסתטית,False
שבו יוסף,"ד""ר יוסף שבו",,רפואה אסתטית,False
ברחמן יורי,"ד""ר יורי ברחמן",גסטרואנטרולוגיה,גסטרואנטרולוגיה,True
פרידמן מוני,"ד""ר מוני פרידמן",כירורגיה כללית,רפואה אסתטית ומכשור לייזר המתקדם בעולם,False
חטיב פאיז,"ד""ר פאיז חטיב",יילוד וגינקולוגיה,"יילוד וגינקולוגיה, רפואת נשים",True
נתנזון ניר,"ד""ר ניר נתנזון",דרמטולוגיה-מחלות עור ומין,עור ומין,True
שולמן אורי,"ד""ר אורי שולמן",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
בדני עמנואל,"ד""ר עמנואל בדני",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
סגל אורי,פרופ' אורי סגל,מחלות עיניים,רפואת עיניים,False
קריינר ברונו,"ד""ר ברונו קריינר",,כירורג פה ולסת,False
קוסאשוילי יונה,פרופ' יונה קוסאשוילי,כירורגיה אורתופדית,כירורגיה אורתופדית,True
קדמי עמית,"ד""ר עמית קדמי",כירורגיה של היד,"כירורגיה אורתופדית, כירורגית כף היד",False
אמיתי אמיר,"ד""ר אמיר אמיתי",כירורגיה אורתופדית,כירורגיה אורתופדית,True
דר שיר,"ד""ר שיר דר",יילוד וגינקולוגיה,מיילדות וגניקולוגיה,False
יונאי יניב,"ד""ר יניב יונאי",כירורגיה אורתופדית,"פציעות ספורט, כירורגיה אורטופדית",False
בראל אריק,"ד""ר אריק בראל",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
פינקל אוקסנה,"ד""ר אוקסנה פינקל",,מחלות עור ומין,False
אלדר אורן,"ד""ר אורן אלדר",דרמטולוגיה-מחלות עור ומין,עור ומין,True
תמיר ערן,פרופ' ערן תמיר,כירורגיה אורתופדית,כירורגיה אורתופדית,True
גולדמן ולדימיר,"ד""ר ולדימיר גולדמן",כירורגיה אורתופדית,אורתופדיה,False
ברנע יואב,פרופ' יואב ברנע,כירורגיה פלסטית ואסתטית,כירורגיה פלסטית ורפואה אסתטית,False
חייטון אלכסיי,"ד""ר אלכסיי חייטון",טיפול נמרץ כללי,רפואה אסתטית,False
רוזן מירה,"ד""ר מירה רוזן",,רפואה אסתטית,False
אברמסון אלכס,"ד""ר אלכס אברמסון",,כירורג פה ולסת,False
פינק אנדרו,"ד""ר אנדרו פינק",מחלות עיניים,"טיפולים מתקדמים לעיניים יבשות, ניתוחי לייזר להסרת משקפיים",False
הראל אביקם,"ד""ר אביקם הראל",דרמטולוגיה-מחלות עור ומין,רפואת עור ומין,False
גת איתי,פרופ' איתי גת,יילוד וגינקולוגיה,מיילדות וגינקולוגיה,False
שרון נעמי,"ד""ר נעמי שרון",רפואת המשפחה,מומחית ברפואת משפחה,False
פישל רון,"ד""ר רון פישל",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית ואסתטית,True
פיצ'וגין נטליה,"ד""ר נטליה פיצ'וגין",,רפואה אסתטית,False
מנחה סער,פרופ' סער מנחה,קרדיולוגיה,קרדיולוגיה,True
שרוני צח,"ד""ר צח שרוני",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית ואסתטית,True
הוס ניר,"ד""ר ניר הוס",כירורגיה אורתופדית,אורתופדיה,False
נאמן עמוס,פרופ' עמוס נאמן,כירורגיה אורולוגית,אורולוגית ילדים ומבוגרים,False
בורג אלון,"ד""ר אלון בורג",כירורגיה אורתופדית,כירורגיה אורתופדית,True
חג'אזי מאהר,"ד""ר מאהר חג'אזי",גריאטריה,"גריאטריה, פנימית",True
איצקסון מיכאל,"ד""ר מיכאל איצקסון",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
שלום אבשלום,פרופ' אבשלום שלום,כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
קרן דין,"ד""ר דין קרן",גסטרואנטרולוגיה,גסטרואנטרולוגיה (מחלות דרכי עיכול),True
לייבו ליאור,"ד""ר ליאור לייבו",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
סרוקה גדעון,"ד""ר גדעון סרוקה",כירורגיה כללית,כירורגיה כללית,True
קעואר מנאר,"ד""ר מנאר קעואר",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
הרן גבי,"ד""ר גבי הרן",יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
שחר טל,"ד""ר טל שחר",נוירוכירורגיה,נוירוכירורגיה,True
אביבי ערן,"ד""ר ערן אביבי",כירורגיה אורתופדית,כירורגיה אורתופדית,True
ברגר אורי,"ד""ר אורי ברגר",,רפואה אסתטית,False
יעקבי איל,"ד""ר איל יעקבי",כירורגיה אורתופדית,"אורתופדיה, כירורגיה אורתופדית",True
מטאנס אליאס,"ד""ר אליאס מטאנס",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
נחמני גיא,"ד""ר גיא נחמני",כירורגיה פלסטית ואסתטית,"כירורגיה פלסטית, ניתוחים משחזרים ואסתטיים",False
עבוד וסים,"ד""ר וסים עבוד",,כירורגיית פה ולסתות,False
בנקוביץ ואדים,"ד""ר ואדים בנקוביץ",כירורגיה אורתופדית,"כירורגיה אורטופדית, השתלת מפרקים",False
ח'ורי אמג'ד,"ד""ר אמג'ד ח'ורי",,רפואה אסתטית,False
מסלקוב איליה,"ד""ר איליה מסלקוב",רפואה פנימית,"ראומטולוגיה, רפואה פנימית",True
בורשטין גדעון,"ד""ר גדעון בורשטין",כירורגיה אורתופדית,"החלפות מפרקי ברך וירך, טיפול בפגיעות ספורט, פגיעות במניסקוס, פגיעות סחוס ורצועתיות",False
גרש איגור,"ד""ר איגור גרש",כירורגיה אורתופדית,"כירורגיה אורתופדית, מנתח כתף וברך",True
רז נטע,"ד""ר נטע רז",כירורגיה אורתופדית,"אורתופדיה עמוד שדרה, כירורגיה אורתופדית",True
מורג רועי,"ד""ר רועי מורג",כירורגיה אורולוגית,"אורולוגית ילדים, אורולוגית מבוגרים",False
מורג אופיר,"ד""ר אופיר מורג",רפואה לשיכוך כאב,רפואת הכאב,False
ברוכין אוהד,"ד""ר אוהד ברוכין",יילוד וגינקולוגיה,"הריון בסיכון, פריון, IVF",False
אביזמר חגי,"ד""ר חגי אביזמר",מחלות עיניים,"רפואת עיניים,  ניתוחי קטרקט וקרנית",False
טנצר רון,"ד""ר רון טנצר",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
זיתון-אזוגי שנטל,"ד""ר שנטל זיתון-אזוגי",דרמטולוגיה-מחלות עור ומין,רפואת עור,False
חדאד אליאס,"ד""ר אליאס חדאד",כירורגיה אורתופדית,"כירורגיה אורטופדית, אורתופדיה עמוד שדרה",False
צביאלי אורן,"ד""ר אורן צביאלי",כירורגיה אורתופדית,"כירורגיה אורטופדית, כתף ומרפק",False
לבר ליאור,"ד""ר ליאור לבר",כירורגיה אורתופדית,"רפואת ספורט, כירורגיה אורטופדית",False
גרישין סבטלנה,"ד""ר סבטלנה גרישין",פסיכיאטריה,פסיכיאטריה,True
אלפרט יואב,"ד""ר יואב אלפרט",יילוד וגינקולוגיה,"גינקולוגיה ומיילדות, אולטרסאונד במיילדות",False
פרסיץ אסף,"ד""ר אסף פרסיץ",כירורגיה פלסטית ואסתטית,"כירורגיה פלסטית, רפואה אסתטית",False
טשליקוב ודים,"ד""ר ודים טשליקוב",נוירולוגיה,רפואת כאב,False
ליברזון אהרון,"ד""ר אהרון ליברזון",כירורגיה אורתופדית,"כירורגיה אורתופדית, כף רגל וקרסול",True
טיין רן,"ד""ר רן טיין",כירורגיה אורתופדית,"כירורגיה אורטופדית, רפואת ספורט, ארתרוסקופיה",False
שפירר אוריאל,פרופ' אוריאל שפירר,מחלות עיניים,"רפואת עיניים, מחלות עיניים בילדים, ניתוחי פזילה בילדים ומבוגרים, דרכי דמעות, עין עצלה",True
בס רומן,"ד""ר רומן בס",רפואת ילדים,אורולוגיה,False
קזנסקי איגור,"ד""ר איגור קזנסקי",כירורגיה אורתופדית,"החלפת מפרקי ירך וברך, כירורגיה אורטופדית",False
מגון רונן,"ד""ר רונן מגון",דרמטולוגיה-מחלות עור ומין,"רפואת עור (דרמטולוגיה), רפואה אסתטית, רפואת לייזר",False
ברמן איתן,"ד""ר איתן ברמן",דרמטולוגיה-מחלות עור ומין,"דרמטולוג, רופא עור מומחה",False
מיח'איל מוסטפא סוזנה,"ד""ר סוזנה מוסטפא מיח'איל",יילוד וגינקולוגיה,"אורוגינקולוגיה, כירורגיה משקמת של רצפת האגן, כירורגיה גניקולוגית, רפואת נשים",False
שי תמיר,"ד""ר תמיר שי",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
פינקלשטיין תמר,"ד""ר תמר פינקלשטיין",,יישור שיניים ולסתות (אורתודונטיה),False
שטיין רן,"ד""ר רן שטיין",מחלות עיניים,"אוקולופלסטיקה, רפואת עיניים, רפואה אסתטית",False
איגרא הלנה,"ד""ר הלנה איגרא ",דרמטולוגיה-מחלות עור ומין,"שאיבת שומן בהרדמה מקומית - ""SafeLipo""",False
פרויליך דביר,"ד""ר דביר פרויליך",כירורגיה כללית,כירורגיה בריאטרית,False
שגב ליאור,פרופ' ליאור שגב,כירורגיה כללית,"כירורגיה כללית, כירורגיה קולורקטלית ופרוקטולוגית",True
כרמון עינת,"ד""ר עינת כרמון",כירורגיה כללית,כירורגיית שד אונקולוגית,False
גויטיין דוד,פרופ' דוד גויטיין,כירורגיה כללית,"כירורגיה כללית, כירורגיה לפרוסקופית, כירורגיה בריאטרית",True
מנוסקין יורי,"ד""ר יורי מנוסקין",כירורגיה כללית,"כירורגיה כללית, כירורגיה לפרוסקופית, בקעים",True
צ'טרג'י סומיט,"ד""ר סומיט צ'טרג'י",מחלות ריאה,"רפואה פנימית , מחלות ריאה, רפואת ריאות פולשנית, מחלות COPD, פלאורה, אסטמה פיברוזיס ריאתי, סרקואידוזיס, אבחון סרטן מוקדם",True
ח'טיב סאמר,פרופ׳ סאמר ח'טיב,הרדמה,"מומחה ומנתח למחלות הרשתית והזגוגית, מנתח קטרקט בכיר",False
ריבו יוליה,"ד""ר יוליה ריבו",הרדמה,רפואה אסתטית,False
לסקוב עידו,פרופ' עידו לסקוב,יילוד וגינקולוגיה,גינקולוגיה אונקולוגית,False
סעדיה עדי,"ד""ר עדי סעדיה",דרמטולוגיה-מחלות עור ומין,"רפואת עור, כירורגיה דרמטולוגית, ניתוחי MOHs, רפואה אסתטית",False
באלה מיקלוש,פרופ' מיקלוש באלה,כירורגיה כללית,"כירורגיה כללית, טראומה מורכבת, כירורגיה דחופה, טיפול נמרץ כירורגי, כירורגיה לפרוסקופית",True
סאיג וסים,"ד""ר וסים סאיג",מחלות א.א.ג. וכירורגיית ראש-צוואר,"אף אוזן גרון , כירורגית ראש צוואר",False
פלדמן ויקטור,"ד""ר ויקטור פלדמן",כירורגיה של היד,כירורגיה אורטופדית,False
גיל ירון,"ד""ר ירון גיל",יילוד וגינקולוגיה,"כירורגיה גינקולוגית זעיר פולשנית מתקדמת, רפואת נשים",False
ארליך אורי,"ד""ר אורי ארליך",יילוד וגינקולוגיה,"רפואת נשים, סקירת מערכות, שקיפות עורפית, דיקור מי שפיר, הדמיות תלת וארבע ממד, מעקב היריון",False
לוי יעקב,"ד""ר יעקב לוי",אלרגולוגיה ואימונולוגיה קלינית,"כירורגיית פה ולסת, עקירות, השתלות שיניים",False
איתן אורי,"ד""ר אורי איתן",,רפואה אסתטית,False
קורן טל,"ד""ר טל קורן",מחלות עיניים,"אנדודונטיה (טיפולי שורש), רפואת שיניים",False
לבנון אסף,"ד""ר אסף לבנון",כירורגיה כללית,כירורגית כלי דם,False
פיינברג אירינה,"ד""ר אירינה פיינברג",יילוד וגינקולוגיה,"צוואר הרחם, כירורגיה גינקולוגית, רפואת נשים",False
חייפץ אלכסנדר,"ד""ר אלכסנדר חייפץ",,"אורולוגיה כללית, אורולוגיה אונקולוגית, סרטן הערמונית, מחלות ערמונית ",False
גרון רונית,"ד""ר רונית גרון",רפואה פנימית,"נפרולוגיה, יתר לחץ דם",False
וולף עומר,"ד""ר עומר וולף",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
איל ניר,"ד""ר ניר איל",כירורגיה פלסטית ואסתטית,"כירורגיה פלסטית, מיקרוכירורגיה",False
מזרחי עידו,"ד""ר עידו מזרחי",כירורגיה כללית,כירורגיה קולורקטלית ופרוקטולוגית,False
רבינא גלעד,פרופ' גלעד רבינא,מחלות עיניים,"מחלות רשתית, ניתוחי רשתית, ניתוחי קטרקט",False
גולן יצחק,"ד""ר יצחק גולן",מחלות א.א.ג. וכירורגיית ראש-צוואר,"ניתוחי אף פלסטיים,  משולבים, רפואיים ואסתטיים. כירורגיה מתקנת ומשחזרת של האף והפנים.ניתוחי מחמצת האף. תיקון וטיפול בשברים באף.ניתוחים לתיקון הנשימה.",False
יונס מחמוד,"ד""ר מחמוד יונס",רפואה פנימית,"פריודונטיה (מחלות חניכיים), שתלים דנטליים",False
גועבה ראמי,"ד""ר ראמי גועבה",רפואה פנימית,קרדיולוגיה פולשנית,False
אלטמן ערן,"ד""ר ערן אלטמן",יילוד וגינקולוגיה,"פוריות האישה, פוריות הגבר",False
זינגר מנחם,"ד""ר מנחם זינגר",כירורגיה אורתופדית,אורתופדית ילדים,False
גולן אורית,"ד""ר אורית גולן",רדיולוגיה אבחנתית,"רדיולוגיה, דימות שד",False
גליק עופר,"ד""ר עופר גליק",מחלות א.א.ג. וכירורגיית ראש-צוואר,"ניתוחי אף וסינוסים, פלסטיקה משחזרת של הפנים, רפואה אסתטית",False
זנתי ירון,"ד""ר ירון זנתי",דרמטולוגיה-מחלות עור ומין,"רפואת עור, השתלות שיער",False
זילברליכט אריאל,"ד""ר אריאל זילברליכט",יילוד וגינקולוגיה,"אורוגניקולוגיה, רפואת נשים",False
נג'אר רוג'ה,"ד""ר רוג'ה נג'אר",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
הלר שניר,"ד""ר שניר הלר",כירורגיה אורתופדית,"החלפת מפרקים, כירורגיה אורתופדית",True
צור רותם,"ד""ר רותם צור",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
לויטס אליהו,פרופ' אליהו לויטס,יילוד וגינקולוגיה,"פוריות, מיילדות, גניקולוגיה",False
גבריאל ניר,"ד""ר ניר גבריאל",כירורגיה כללית,"כירורג כלי דם, כירורגיה כללית",True
אוריון דוד,"ד""ר דוד אוריון",נוירולוגיה,נוירורדיולוגיה פולשנית (צנתור מוח),False
להב גיל,"ד""ר גיל להב",מחלות א.א.ג. וכירורגיית ראש-צוואר,אוטולוגיה,False
רויזמן שמואל,"ד""ר שמואל רויזמן",כירורגיה אורולוגית,כירורגיה אורולוגית שחזורית ותפקודית,True
אלעזרי רם,פרופ' רם אלעזרי,כירורגיה כללית,כירורגיה בריאטרית,False
אולשינקה אסף,"ד""ר אסף אולשינקה",כירורגיה פלסטית ואסתטית,"כירורגיה פלסטית ואסתטית, כירורגיה פלסטית של ילדים, כירורגיה קרניופציאלית",True
רצ'קימן מאיר,"ד""ר מאיר רצ'קימן",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית ואסתטית,True
גור צבי,"ד""ר צבי גור",מחלות עיניים,"פלסטיקה של העין, עפעפיים, דרכי דמעות וארובת העין",False
ענר אלן,"ד""ר אלן ענר",כירורגיה אורתופדית,"חוות דעת רפואית משפטית אורתופדית, אורתופדיה ילדים, כירורגיה אורתופדית",True
אטלן פרנק,"ד""ר פרנק אטלן",כירורגיה של היד,"כירורגיה של היד, מיקרוכירורגיה של כף יד, ארטרוסקופיה של כף יד",True
קורן ליאור,"ד""ר ליאור קורן",כירורגיה של היד,"כירורגיית כף יד, אורתופדיה, חוות דעת רפואית משפטית",False
שושן שגית,"ד""ר שגית שושן",מחלות א.א.ג. וכירורגיית ראש-צוואר,אף אוזן גרון ילדים ומבוגרים,False
חדייר אמיר,"ד""ר אמיר חדייר",מחלות עיניים,"עיניים, קטרקט, רשתית, טיפולי לייזר",False
אופיר איתי,"ד""ר איתי אופיר",כירורגיה אורתופדית,אורטופדיה,False
מליקוב פיוטר,"ד""ר פיוטר מליקוב",נוירולוגיה,"מומחה בינלאומי לטיפול במיגרנה, כאבי ראש ופנים",False
פרל ליאת,"ד""ר ליאת פרל",רפואת ילדים,"רפואת ילדים, אנדוקרינולוגית ילדים, רפואת מגדר",True
מור יורם,"ד""ר יורם מור",רפואה לשיכוך כאב,"כאב, שיקום",False
חתומי שירה,"ד""ר שירה חתומי",כירורגיה אורולוגית,אורולוגיה,False
ספיר דניאל,"ד""ר דניאל ספיר",רפואת ילדים,"הפרעות קשב וריכוז, התפתחות הילד, רפואת ילדים",True
כרמון משה,"ד""ר משה כרמון",כירורגיה כללית,כירורגית שד,False
הנדלר אייל,"ד""ר אייל הנדלר",כירורגיה אורתופדית,אורתופדיה עמוד שדרה,False
סגל נעמה,"ד""ר נעמה סגל",יילוד וגינקולוגיה,"מחלות צוואר הרחם, מחלות עריה ולדן, רפואת נשים.",False
יניב רון,"ד""ר רון יניב",דרמטולוגיה-מחלות עור ומין,"רפואת עור, רפואה אסתטית",False
טסלר גילי,"ד""ר גילי טסלר",מחלות עיניים,קטרקט,False
מאג'ו ניקולה,פרופ' ניקולה מאג'ו,נוירולוגיה,"נוירולוגיה, אפילפסיה,כאבי ראש, סחרחורות,ירידה בזכרון",True
סימנובסקי נאום,"ד""ר נאום סימנובסקי",כירורגיה אורתופדית,אורטופדיה ילדים,False
שיבר שחף,פרופ שחף שיבר,רפואה דחופה,ראומטולוגיה,False
צוקרמן בני,"ד""ר בני צוקרמן",כירורגית בית החזה - מסלול כירורגית חזה כללית,ניתוחי חזה,False
בלאל ביאדר,"ד""ר ביאדר בלאל",כירורגיה פלסטית ואסתטית,"כירורגיה פלסטית, רפואה אסתטית",False
באבאיב מאיר,"ד""ר מאיר באבאיב",דרמטולוגיה-מחלות עור ומין,"רפואת עור, אסתטיקה רפואית, לייזרים",False
אבנר יניב,"ד""ר יניב אבנר",מחלות א.א.ג. וכירורגיית ראש-צוואר,"אף אוזן גרון ילדים, ניתוחי ראש צוואר ילדים",False
אלדר עידו,"ד""ר עידו אלדר",יילוד וגינקולוגיה,"טיפולי פוריות, רפואת נשים",False
רוטנשטרייך יגאל,פרופ' יגאל רוטנשטרייך,מחלות עיניים,"קטרקט, רפואת עיניים, מחלות רשתית",False
ברשטיין יגאל,"ד""ר יגאל ברשטיין",רדיולוגיה אבחנתית,"רדיולוגיה אבחנתית, אולטרסאונד",True
הרשקוביץ עודד,פרופ׳ עודד הרשקוביץ,כירורגיה אורתופדית,אורתופדיה עמוד שדרה,False
בניזרי סנדרה,"ד""ר סנדרה בניזרי",נוירולוגיה,"נוירולוגיה, פרקינסון",True
הלר אייל,"ד""ר אייל הלר",כירורגיה אורתופדית,אורתופדיה קרסול וכף רגל,False
זיידין אנה,"ד""ר אנה זיידין",יילוד וגינקולוגיה,רפואת נשים,False
ביבי גיא,"ד""ר גיא ביבי",יילוד וגינקולוגיה,כירורגיה גינקולוגית,False
אלבגלי אסף,"ד""ר אסף אלבגלי",כירורגיה אורתופדית,אורתופדיית כף רגל וקרסול,False
זנדבנק שרון,"ד""ר שרון זנדבנק",כירורגיה פלסטית ואסתטית,"כירורגיה פלסטית, רפואה אסתטית",False
פרלוק תומר,"ד""ר תומר פרלוק",כירורגיה פלסטית ואסתטית,"כירורגיה פלסטית, רפואה אסתטית",False
לינדנר דרור,"ד""ר דרור לינדנר",כירורגיה אורתופדית,רפואת ספורט אורתופדית,False
כרמל אלדר,"ד""ר אלדר כרמל",מחלות א.א.ג. וכירורגיית ראש-צוואר,אף אוזן גרון ילדים,False
טננבאום אריאל,"ד""ר אריאל טננבאום",,אנדוקרינולוגית ילדים,False
סגל עמית,"ד""ר עמית סגל",כירורגיה אורתופדית,"אורתופדיית ילדים, ניתוחי עמוד שדרה בילדים",False
רוזינסקי פיליפ,"ד""ר פיליפ רוזינסקי",כירורגיה אורתופדית,"ניתוחי כתף וירך, אורתופדית ספורט, החלפות מפרקים",False
יריומין ולדיסלב,"ד""ר ולדיסלב יריומין",נוירולוגיה,נוירולוגיה,True
שאשה נדב,"ד""ר נדב שאשה",כירורגיה אורתופדית,"החלפות מפרקים, כירורגיה אורתופדית",True
