moh_name,med_name,moh_specialty,med_specialty,spec_match
רוזן רוני,"ד""ר רוני רוזן",גסטרואנטרולוגיה,גסטרואנטרולוגיה ומחלות כבד,True
ברנט בני,"ד""ר בני ברנט",יילוד וגינקולוגיה,"גניקולוגיה אונקולוגית, סרטן רחם, סרטן שחלות, נגעים טרום ממאירים של צוואר הרחם וסרטן צוואר הרחם, סרטן העריה, מחלת הטרופובלאסט, ניתוחים משמרי פוריות בנשים עם מחלת סרטן, טיפול בנשאיות BRCA",False
דהן משה,"ד""ר משה דהן",כירורגיה אורתופדית,"רפואת ספורט אורתופדית, כירורגיה אורתופדית",True
קליין דורון,"ד""ר דורון קליין",כירורגיה פלסטית ואסתטית,"כירורגיה פלסטית, רפואה אסתטית",False
רויטמן דינה,דינה רויטמן,,,False
ברלינר אורי,"ד""ר אורי ברלינר",מחלות עיניים,"ניתוחי עיניים, ניתוח קטרקט, לייזר SLT, יאג לייזר, פטריגיום, הסרת ירוד, מומחה גלאוקומה, מומחה קטרקט",False
לוריא דוד,פרופ' דוד לוריא,קרדיולוגיה,"קרדיולוגיה, טיפול בהפרעות קצב (אלקטרופיזיולוגיה)",True
רוביצקי אלכסיי,"ד""ר אלכסיי רוביצקי",כירורגיה אורתופדית,"מומחה לאורתופדיה קרסול וכף רגל, טראומה אורטופדית",False
קרן יניב,"ד""ר יניב קרן",כירורגיה אורתופדית,טראומה אורתופדית,False
סוריאנו דוד,פרופ' דוד סוריאנו,יילוד וגינקולוגיה,"כירורגיה גניקולוגית, אנדומטריוזיס, ניתוחים לפרוסקופים, ניתוחים היסטרוסקופיים ורפואת נשים",False
טיאוסנו לירן,"ד""ר לירן טיאוסנו",מחלות עיניים,"קטרקט, מחלות רשתית וזגוגית",False
פלאח מאזן,"ד""ר מאזן פלאח",כירורגיה אורתופדית,"רפואת ספורט אורתופדית, ארטרוסקופיה, החלפות ברכיים",False
גרייב נביל,"ד""ר נביל גרייב",כירורגיה אורתופדית,"החלפת מפרק ירך, החלפת ברך , ניתוחים רובוטיים.",False
ביבס אסף,"ד""ר אסף ביבס",כירורגיה אורתופדית,אורתופדיה כתף,False
כראם טוני,"ד""ר טוני כראם",כירורגית כלי דם,כירורגית כלי דם,True
ביטרמן ניר,"ד""ר ניר ביטרמן",כירורגיה פלסטית ואסתטית,"כירורגיה פלסטית, רפואה אסתטית",False
שרקון שפיץ טליה,"ד""ר טליה שפיץ שרקון",,רפואה אסתטית,False
זינגר יובל,"ד""ר יובל זינגר",,רפואה אסתטית,False
שלו תמר,"ד""ר תמר שלו",רפואה פנימית,"גסטרואנטרולוגיה, רפואה פנימית",True
ברק רונית,"ד""ר רונית ברק",כירורגיה כללית,כירורגיה כללית,True
גנדלמן עומר,"ד""ר עומר גנדלמן",ראומטולוגיה,"ראומטולוגיה, רפואה פנימית",True
יעקוב עפיף,"ד""ר עפיף יעקוב",רפואה פנימית,גסטרואנטרולוגיה,False
להט אילון,"ד""ר אילון להט",כירורגיה כללית,כירורגיה הפטוביליארית,False
מרסיאנו גיא,"ד""ר גיא מרסיאנו",יילוד וגינקולוגיה,"רפואת נשים, היסטרוסקופיה אבחנתית וניתוחית",False
רז אהוד,"ד""ר אהוד רז",יילוד וגינקולוגיה,"רפואת נשים, הפסקת הריון",False
סינגולדה רועי,"ד""ר רועי סינגולדה",כירורגיה פלסטית ואסתטית,"כירורגיה פלסטית, רפואה אסתטית",False
אורון טל,"ד""ר טל אורון",אנדוקרינולוגיה ילדים,אנדוקרינולוגית ילדים,False
תירוש עמית,פרופ' עמית תירוש,רפואה פנימית,גידולים נוירו-אנדוקריניים,False
בלאו אילן,"ד""ר אילן בלאו",מחלות א.א.ג. וכירורגיית ראש-צוואר,רינולוגיה,False
רוק עודד,"ד""ר עודד רוק",מחלות עיניים,"עיניים ילדים, פזילה",False
שייר אורי,"ד""ר אורי שייר",מחלות עיניים,"ניתוחי קטרקט מורכבים, בשילוב עדשות מתקדמות (פרימיום), רפואת עיניים",False
ברקאי אולגה,"ד""ר אולגה ברקאי",רפואה פנימית,גסטרואנטרולוגיה,False
דרוקר ליאור,"ד""ר ליאור דרוקר",יילוד וגינקולוגיה,"רפואת נשים/גינקולוגיה, אולטרה סאונד",False
איל אורי,"ד""ר אורי איל",רפואת ילדים,כירורגית כלי דם,False
קוליקוב ויקטוריה,"ד""ר ויקטוריה קוליקוב",רפואה גרעינית,פענוח PET-CT,False
מרחבי שלמה,"ד""ר שלמה מרחבי",מחלות א.א.ג. וכירורגיית ראש-צוואר,"אף אוזן גרון, בלוטת התריס",False
לאור ענת,"ד""ר ענת לאור",כירורגית ילדים,"רפואה אסתטית, השתלת שיער",False
גרשנוב אוקסנה,"ד""ר אוקסנה גרשנוב",,"רפואה אסתטית, דרמטולוגיה קוסמטית",False
פלג אורי,"ד""ר אורי פלג",מחלות א.א.ג. וכירורגיית ראש-צוואר,אף אוזן גרון,False
ארבל אריאל,"ד""ר אריאל ארבל",יילוד וגינקולוגיה,"יילוד, גינקולוגיה ופריון",False
ברק שרית,"ד""ר שרית ברק",יילוד וגינקולוגיה,"אורוגינקולוגיה, רפואת נשים, פלסטיקה וגינלית",False
פרידמן עדי,"ד""ר עדי פרידמן",יילוד וגינקולוגיה,"אולטרה סאונד גינקולוגי, רפואת נשים",False
לוי עמוס,"ד""ר עמוס לוי",רפואה פנימית,"קרדיולוגיה פולשנית, צנתורי לב",False
מסלוביץ שרון,פרופ' שרון מסלוביץ,יילוד וגינקולוגיה,"רפואת נשים, גינקולוגיה, אולטרה סאונד גינקולוגי, הריון בסיכון גבוה",False
ליפסקר אסתר,"ד""ר אסתר ליפסקר",כירורגיה אורתופדית,"כירורגיה של היד, אורטופדיה כף יד",False
ורסנו דוד,פרופ' דוד ורסנו,מחלות עיניים,רפואת עיניים,False
חייצ'יק משה,"ד""ר משה חייצ'יק",מחלות א.א.ג. וכירורגיית ראש-צוואר,אף אוזן גרון ילדים,False
גולדן אורן,"ד""ר אורן גולדן",כירורגיה פלסטית ואסתטית,"כירורגיה פלסטית, אסתטיקת פנים",False
כרמלי עידן,"ד""ר עידן כרמלי",כירורגיה כללית,"כירורגיה כללית ולפרוסקופית, בריאטריה (קיצור קיבה)",True
כהן ניר,"ד""ר ניר כהן",רפואת ילדים,"אורתופדיה, החלפות מפרקים, אורתופדיה ברכיים ומפרקי ירכיים",False
ליבנה טל,"ד""ר טל ליבנה",רפואת המשפחה,"רפואת ספורט, טיפול בכאב",False
אולנובסקי דוד,"ד""ר דוד אולנובסקי",מחלות א.א.ג. וכירורגיית ראש-צוואר,אף אוזן גרון ילדים,False
ארנברג מרים,"ד""ר מרים ארנברג",מחלות עיניים,"עיניים ילדים, פזילה, התאמת משקפיים, עין עצלה",False
ביטמן גנדי,"ד""ר גנדי ביטמן",יילוד וגינקולוגיה,"אורוגינקולוגיה, גינקולוגיה",False
הולנדר ליאורה,"ד""ר ליאורה הולנדר",כירורגיה פלסטית ואסתטית,"כירורגיה פלסטית, רפואה אסתטית, אסתטיקת פנים",False
ישראלי גלית,"ד""ר גלית ישראלי",רפואת ילדים,"אנדוקרינולוגיה ילדים, רפואת ילדים",True
פבלובסקי מור,"ד""ר מור פבלובסקי",דרמטולוגיה-מחלות עור ומין,עור ומין – ילדים ומבוגרים,False
איסקוב דוד,"ד""ר דוד איסקוב",יילוד וגינקולוגיה,"פריון, מיילדות וגינקולוגיה",False
הורוביץ ערן,פרופ' ערן הורוביץ,יילוד וגינקולוגיה,"רפואת נשים, פריון האישה",False
אפשטיין אסף,"ד""ר אסף אפשטיין",כירורגיה אורתופדית,"כירורגיה אורתופדית, רפואת כאב, טראומה אורתופדית",True
גולדס יורי,"ד""ר יורי גולדס",כירורגיה כללית,"כירורגיה אונקולוגית, כירורגיה כללית",True
וסרמן אילן,"ד""ר אילן וסרמן",כירורגיה כללית,"כירורגיה קולורקטלית, כירורגיה כללית, כירורגית שד",True
אופיר חגית,"ד""ר חגית אופיר",יילוד וגינקולוגיה,כירורגיה פלסטית,False
שטרנהיים אמיר,"ד""ר אמיר שטרנהיים",כירורגיה אורתופדית,"אורתופדיה אונקולוגית, אורתופדיה",False
יריב אור,"ד""ר אור יריב",יילוד וגינקולוגיה,"רפואת נשים, אולטרה סאונד גינקולוגי",False
פלד יואב,פרופ' יואב פלד,יילוד וגינקולוגיה,"רפואת נשים, גיל המעבר",False
זיפמן אייל,"ד""ר אייל זיפמן",גאסטרואנטרולוגיה ילדים,גסטרואנטרולוגיה ילדים,False
לביא דוד,"ד""ר דוד לביא",המטולוגיה,"רפואת שיניים, שיקום הפה, השתלות שיניים",False
אלבז אורי,פרופ׳ אורי אלבז,מחלות עיניים,"רפואת עיניים, קטרקט, קרנית",False
נאסר סלים,"ד""ר סלים נאסר",,רפואה אסתטית,False
נובק רוסטיסלב,"ד""ר רוסטיסלב נובק",כירורגיה אורתופדית,"אורתופדיה אונקולוגית, כירורגיה אורתופדית, טיפול בכאבים כרוניים וחריפים",True
אדלר אלדד,"ד""ר אלדד אדלר",מחלות עיניים,"רפואת עיניים, קטרקט, קרנית",False
פרץ איתי,פרופ' איתי פרץ,כירורגיה אורתופדית,"אורתופדיה, החלפות מפרקים, רפואת ספורט אורתופדית",False
פרוימוביץ מירון,"ד""ר מירון פרוימוביץ",יילוד וגינקולוגיה,"גינקולוגיה, פריון האישה",False
קובליוק נטליה,"ד""ר נטליה קובליוק",מחלות עיניים,רפואת עיניים,False
רוזנבאום עומר,"ד""ר עומר רוזנבאום",דרמטולוגיה-מחלות עור ומין,עור,True
אהרונוב מירי,"ד""ר מירי אהרונוב",דרמטולוגיה-מחלות עור ומין,רפואת עור,False
חורי מאהר,"ד""ר מאהר חורי",מחלות א.א.ג. וכירורגיית ראש-צוואר,אף אוזן גרון וניתוחי וניתוחים פלסטיים של האף והפנים,False
ברזילי ערן,פרופ' ערן ברזילי,יילוד וגינקולוגיה,"רפואת נשים, רפואת אם ועובר, אולטרסאונד",False
שויחטמן יבגני,"ד""ר יבגני שויחטמן",כירורגיה אורתופדית,"טראומה אורתופדית, חוות דעת רפואית משפטית",False
שמש שי,"ד""ר שי שמש",מחלות א.א.ג. וכירורגיית ראש-צוואר,"אורתופדיה החלפות מפרקים, אורתופדיה אונקולוגית",False
קמר חגי,"ד""ר חגי קמר",כירורגיה כללית,כירורגיה ילדים,False
סדן דרור,"ד""ר דרור סדן",כירורגיה פלסטית ואסתטית,"כירורגיה פלסטית, רפואה אסתטית",False
פלמנוביץ' אסקיאל,פרופ' אסקיאל פלמנוביץ',כירורגיה אורתופדית,אורתופדיה קרסול וכף רגל,False
לוי אולג,"ד""ר אולג לוי",כירורגיה אורולוגית,אורולוגיה,False
גנוט גיל,"ד""ר גיל גנוט",כירורגיה אורתופדית,אורתופדיה קרסול וכף רגל,False
שעלאן אמין,"ד""ר אמין שעלאן",,רפואה אסתטית,False
חיימוב ניסים,"ד""ר ניסים חיימוב",כירורגיה אורתופדית,אורתופדיה קרסול וכף רגל,False
הרמן אמיר,פרופ' אמיר הרמן,כירורגיה אורתופדית,אורתופדיה החלפות מפרקים,False
גורצק יאיר,"ד""ר יאיר גורצק",כירורגיה אורתופדית,אורתופדיה אונקולוגית,False
שגיא ליהי,"ד""ר ליהי שגיא",מחלות א.א.ג. וכירורגיית ראש-צוואר,"אף אוזן גרון וניתוחי ראש צוואר, ניתוחי אף פלסטיים, רפואה אסתטית",False
איתן אמנון,"ד""ר אמנון איתן",קרדיולוגיה,"קרדיולוגיה, קרדיולוגיה פולשנית, צנתורי לב",True
מסארוה איהם,"ד""ר איהם מסארוה",,רפואה אסתטית,False
קליין רפי,"ד""ר רפי קליין",כירורגיה כללית,"כירורגית שד, מלנומה, כירורגיה כללית, רפואה אסתטית",True
שכטר אדוארדו,"ד""ר אדוארדו שכטר",יילוד וגינקולוגיה,"רפואת נשים, צוואר הרחם",False
אורון גליה,פרופ' גליה אורון,יילוד וגינקולוגיה,"רפואת נשים, פריון האישה",False
גליק מירית,"ד""ר מירית גליק",דרמטולוגיה-מחלות עור ומין,עור ומין,True
אידלסון אנה,"ד""ר אנה אידלסון",יילוד וגינקולוגיה,מיילדות וגינקולוגיה,False
שטבהולץ יריב,"ד""ר יריב שטבהולץ",כירורגיה אורולוגית,אורולוגיה,False
חייקין אלכסנדר,"ד""ר אלכסנדר חייקין",יילוד וגינקולוגיה,גינקולוגיה,True
ברבארה עאדל,"ד""ר עאדל ברבארה",מחלות עיניים,"רפואת עיניים, קרנית, קטרקט, הסרת משקפיים בלייזר, מיופיה קונטרול בילדים",False
פרוסו איליה,"ד""ר איליה פרוסו",כירורגיה אורתופדית,אורתופדיה החלפות מפרקים,False
לינדר רויטל,"ד""ר רויטל לינדר",יילוד וגינקולוגיה,"גינקולוגיה אונקולוגית, צוואר הרחם, רפואת נשים",False
גורדון אלה,"ד""ר אלה גורדון",נוירולוגיה,נוירולוגיה,True
וסרברג ניר,פרופ' ניר וסרברג,כירורגיה כללית,"כירורגיה קולורקטלית, כירורגיה כללית",True
לויט-רוזן לורין,"ד""ר לורין לויט-רוזן",יילוד וגינקולוגיה,"רפואת נשים, הריון בסיכון גבוה",False
רוט דוד,פרופ' דוד רוט,רפואה פנימית,"קרדיולוגיה מניעתית וטיפולית, רפואה פנימית",True
קובל טל,"ד""ר טל קובל",מחלות עיניים,"פלסטיקה של העין והארובה, רפואת עיניים",False
אקרמן להבית,"ד""ר להבית אקרמן",דרמטולוגיה-מחלות עור ומין,"עור ומין, אסתטיקה רפואית, מיצוק וחיטוב גוף ולייזר רפואי",False
הוכברג עירית,"ד""ר עירית הוכברג",אנדוקרינולוגיה,"אנדוקרינולוגיה, אוסטאופורוזיס, סוכרת",True
שפיגלמן רוברטו,"ד""ר רוברטו שפיגלמן",נוירוכירורגיה,"נוירוכירורגיה, רדיוכירורגיה סטריאוטקטית",True
מרגלית עופר,פרופ' עופר מרגלית,אונקולוגיה מסלול אונקולוגיה רפואית,אונקולוגיה,True
פלדמן איתמר,"ד""ר איתמר פלדמן",גריאטריה,"גריאטריה, ראומטולוגיה, פסיכוגריאטריה",True
נסאר חלים,"ד""ר חלים נסאר",פסיכיאטריה,פסיכיאטריה,True
ברקו אפרים,"ד""ר אפרים ברקו",מחלות עיניים,"רפואת עיניים, ניתוחי קטרקט ורשתית, ניתוחי קטרקט מורכבים, מחלות רשתית",False
אולשינקה נועם,"ד""ר נועם אולשינקה",כירורגיה אורתופדית,אורתופדיה אונקולוגית,False
עצמון יובל,"ד""ר יובל עצמון",יילוד וגינקולוגיה,"רפואת נשים, פריון האישה",False
אגמון יורם,פרופ' יורם אגמון,רפואה פנימית,"קרדיולוגיה, אקו לב, מחלות מסתמי הלב",False
חדאד ראפי,"ד""ר ראפי חדאד",נוירולוגיה,"נוירולוגיה, הפרעות תנועה, נוירולוגיה קוגניטיבית",True
אברהמי רוני,"ד""ר רוני אברהמי",יילוד וגינקולוגיה,"גינקולוגיה, מעקב הריונות מיוחדים",False
שדות ערן,פרופ' ערן שדות,כירורגיה כללית,"כירורגיה כללית, ניתוחי כבד, לבלב, ודרכי מרה",True
ענבר רותם,"ד""ר רותם ענבר",יילוד וגינקולוגיה,רפואת נשים,False
חטיב מוחמד,"ד""ר מוחמד חטיב",כירורגיה אורתופדית,"אורתופדיה, החלפות מפרקים",False
מילוא צבי,"ד""ר צבי מילוא",יילוד וגינקולוגיה,"רפואת נשים, נערות ומתבגרות, מעקב הריונות מיוחדים, הריון בסיכון גבוה",False
אבנט חגי,"ד""ר חגי אבנט",יילוד וגינקולוגיה,"רפואת נשים, אולטרסאונד מיילדותי וגינקולוגי ורפואת עובר",False
צ'רמיסין וסילי,"ד""ר וסילי צ'רמיסין",כירורגיה אורתופדית,"אורתופדית כתף, אורתופדיה של גפה עליונה",False
ספוז'ניקוב שמעון,"ד""ר שמעון ספוז'ניקוב",כירורגיה כללית,"כירורגיה, בריאטריה, קיצור קיבה, כירורגיה לפרוסקופית, בקעים",False
מני אריאל,פרופ' אריאל מני,יילוד וגינקולוגיה,"רפואת נשים, הריון בסיכון גבוה, ניתוחים קיסריים",False
פרידל נדב,"ד""ר נדב פרידל",רפואת ילדים,רפואת עור ומין מבוגרים,False
קגסוב קונסטנטין,"ד""ר קונסטנטין קגסוב",כירורגיה אורתופדית,אורתופדיה קרסול וכף רגל,False
יניב יונה,"ד""ר יונה יניב",כירורגיה אורתופדית,אורטופדיה של כף היד,False
גורדין אריה,"ד""ר אריה גורדין",מחלות א.א.ג. וכירורגיית ראש-צוואר,אף אוזן גרון ילדים,False
קורן אמיר,"ד""ר אמיר קורן",דרמטולוגיה-מחלות עור ומין,"רפואת עור ושיער, רפואה אסתטית",False
אשכנזי משה,"ד""ר משה אשכנזי",רפואת ילדים,מחלות ריאה ילדים,False
קולקר שמעון,"ד""ר שמעון קולקר",קרדיולוגיה,קרדיולוגיה,True
קורן נטלי,"ד""ר נטלי קורן",יילוד וגינקולוגיה,"רפואת נשים, מעקב הריון, גיניקולוגיה של ילדות ומתבגרות, רפואת גיל המעבר",False
כזום אפי,"ד""ר אפי כזום",כירורגיה אורתופדית,"אורתופדיה, מנתח כתף",False
בניאמינסון ילנה,"ד""ר ילנה בניאמינסון",רפואה פנימית,רפואה אסתטית,False
גורביץ סופיה,"ד""ר סופיה גורביץ",יילוד וגינקולוגיה,"רפואת נשים, כירורגיה גניקולוגית",False
ראובני חיים,פרופ' חיים ראובני,רפואת ילדים,"רפואת עור, רפואה אסתטית",False
עודה מרואן,פרופ' מרואן עודה,יילוד וגינקולוגיה,"גינקולוגיה, אולטרה סאונד גינקולוגי",False
גרובר נועה,"ד""ר נועה גרובר",אנדוקרינולוגיה ילדים,אנדוקרינולוגיה ילדים,True
קורן ארנון,"ד""ר ארנון קורן",כירורגיה כללית,"כירורגית כלי דם וורידים, ניתוחי לייזר תוך ורידי",False
שושני אוהד,"ד""ר אוהד שושני",כירורגיה אורולוגית,"אורולוגיה, פריון הגבר",False
בלוססקי רון,פרופ' רון בלוססקי,יילוד וגינקולוגיה,"רפואת נשים, סקירת מערכות",False
מוצמכר לריסה,"ד""ר לריסה מוצמכר",מחלות עיניים,"רפואת עיניים, מחלות הרשתית והזגוגית",False
אולך איילת,"ד""ר איילת אולך",דרמטולוגיה-מחלות עור ומין,"עור, עור ילדים",False
שחאדה שאדי,"ד""ר שאדי שחאדה",,"כירורגיית פה ולסת, רפואת שיניים",False
קלסוב יורי,"ד""ר יורי קלסוב",כירורגיה אורתופדית,כירורגיה אורטופדית,False
שבת שי,פרופ' שי שבת,כירורגיה אורתופדית,אורתופדית עמוד שדרה,False
פאינרו עופר,פרופ' עופר פאינרו,יילוד וגינקולוגיה,"פריון האישה, הפרייה חוץ גופית (IVF)",False
גולדשטיין יריב,"ד""ר יריב גולדשטיין",כירורגיה אורתופדית,אורתופדית כתף,False
סיגל גיל,פרופ' גיל סיגל,מחלות א.א.ג. וכירורגיית ראש-צוואר,"רפואת האף והסינוסים, רפואת אף אוזן גרון ילדים, סחרחורות",False
כרמי אור,"ד""ר אור כרמי",ראומטולוגיה,"ראומטולוגיה, רפואה פנימית",True
ברקוביץ עינב,"ד""ר עינב ברקוביץ",דרמטולוגיה-מחלות עור ומין,"עור, רפואה אסתטית",False
אבישר ענבל,"ד""ר ענבל אבישר",מחלות עיניים,"פלסטיקה של העין והארובה, רפואת עיניים",False
תמימי אשרף,"ד""ר אשרף תמימי",כירורגיה אורולוגית,אורולוגיה,False
פלדברג דב,פרופ' דב פלדברג,יילוד וגינקולוגיה,"פריון האישה, פריון הגבר, גינקולוגיה",False
חזן ינון,"ד""ר ינון חזן",יילוד וגינקולוגיה,"רפואת נשים, סקירת מערכות, דיקור מי שפיר,  אולטרסאונד, שקיפות עורפית",False
פטרוסב אנה,"ד""ר אנה פטרוסב",יילוד וגינקולוגיה,"גיל מעבר, צוואר הרחם, מחלות וולווה והעריה, סקסולוגיה",False
הוסטובסקי אבנר,"ד""ר אבנר הוסטובסקי",מחלות עיניים,"רשתית, קטרקט, רפואת עיניים",False
ליטווק מרק,"ד""ר מרק ליטווק",,"רפואה טבעית, פצעי לחץ, כיבים, נמק",False
פלג איתי,"ד""ר איתי פלג",אנדוקרינולוגיה ילדים,אנדוקרינולוגיה ילדים,True
גרובר אריה,"ד""ר אריה גרובר",כירורגיה אורתופדית,"כירורגיה אורתופדית, אורתופדית עמוד שדרה",True
לוין-קולדיוק יבגניה,"ד""ר יבגניה לוין-קולדיוק",רפואה לשיכוך כאב,טיפול בכאב,False
שחר יאיר,"ד""ר יאיר שחר",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
חרמון הילה,"ד""ר הילה חרמון",כירורגיה כללית,"כירורגית שד, בריאטריה קיצור קיבה, כירורגיה כללית ולפרוסקופית.",True
שוחט נועם,פרופ' נועם שוחט,כירורגיה אורתופדית,"אורתופדיה ברכיים, אורתופדיה החלפות מפרקים",False
פרדו יוסף,פרופ' יוסף פרדו,קרדיולוגיה,"מחלות זיהומיות בהריון, פריון האישה, אולטרה סאונד גינקולוגי, נערות ומתבגרות",False
נגר רן,"ד""ר רן נגר",יילוד וגינקולוגיה,"רפואת נשים, סקירות מערכות, אולטרה סאונד  גינקולוגי אולטרה סאונד מכוון אנדומטריוזיס",False
פלדון מיכל,"ד""ר מיכל פלדון",רפואת ילדים,"ראומטולוגיה ילדים, רפואת ילדים",True
לוי לירן,"ד""ר לירן לוי",רפואה פנימית,מחלות ריאה,False
בראנסי לילה,"ד""ר לילה בראנסי",דרמטולוגיה-מחלות עור ומין,מחלות עור ומין מבוגרים / ילדים,False
בכר דב,"ד""ר דב בכר",יילוד וגינקולוגיה,"פריון האישה, פריון הגבר, גינקולוגיה",False
רוזנטל יואב,"ד""ר יואב רוזנטל",כירורגיה אורתופדית,אורתופדיה מרפק וכתף,False
מור רם,"ד""ר רם מור",מחלות ריאה,מחלות ריאה,True
קוגן מיכאל,"ד""ר מיכאל קוגן",הרדמה,רפואה אסתטית,False
נתיב טל,"ד""ר טל נתיב",כירורגיה אורתופדית,"כירורגית כף יד , אורתופד כף יד , מנתח כף יד",False
שמעוני שרה,פרופ' שרה שמעוני,קרדיולוגיה,"קרדיולוגיה, מחלות מסתמיות, אקו לב, אקו לב במאמץ",True
גלוזמן ישראל,"ד""ר ישראל גלוזמן",פסיכיאטריה,פסיכיאטריה,True
ארגז אודי,"ד""ר אודי ארגז",יילוד וגינקולוגיה,"אולטרה סאונד גינקולוגי, מעקב הריונות מיוחדים, הריון בסיכון גבוה, גינקולוגיה",False
הירש לירן,פרופ' לירן הירש,יילוד וגינקולוגיה,"מעקב היריון בסיכון, אולטרא סאונד מיילדותי",False
שרים גיא,"ד""ר גיא שרים",יילוד וגינקולוגיה,"גינקולוגיה ופוריות, הפריה חוץ גופית ומעקב הריון",False
דוחנו אולג,"ד""ר אולג דוחנו",כירורגיה כללית,"כירורגיה לפרוסקופית, ניתוחים בריאטרים",False
ויינר לריסה,"ד""ר לריסה ויינר",,רפואה אסתטית,False
אונגר ירון,"ד""ר ירון אונגר",מחלות א.א.ג. וכירורגיית ראש-צוואר,אף אוזן גרון,False
טרחטנברוייט איליה,"ד""ר איליה טרחטנברוייט",נוירולוגיה,נוירולוגיה,True
וייס יוסף,"ד""ר יוסף וייס",כירורגיה כללית,אורתופדיה כללית,False
גרדוב לאון,"ד""ר לאון גרדוב",כירורגיה אורתופדית,"אורתופדיה , קרסול וכף רגל, טיפול מחליף ניתוח, חוות דעת משפטית.",False
תירוש עירית,"ד""ר עירית תירוש",ראומטולוגיה,ראומטולוגיה ילדים,True
ברוסילוב מיכאל,"ד""ר מיכאל ברוסילוב",יילוד וגינקולוגיה,"סקירות ושקיפויות, מומחה ברפואת נשים, רפואת נשים ויולדות, יילוד וגינקולוגיה",True
לביא יובל,"ד""ר יובל לביא",יילוד וגינקולוגיה,"מומחה אורוגינקולוגיה, רפואת רצפת האגן ואנדוסקופיה",False
ברקוביץ ליאור,"ד""ר ליאור ברקוביץ",רדיולוגיה אבחנתית,"רדיולוגיה אבחנתית, דימות פרקים, שלד ושריר",True
פרקש פטרו,"ד""ר פטרו פרקש",נוירולוגיה,נוירולוגיה,True
ווליוביץ יאיר,"ד""ר יאיר ווליוביץ",נוירולוגית ילדים והתפתחות הילד,נוירולוגיה ילדים,False
יעקבי הראל,"ד""ר הראל יעקבי",כירורגיה כללית,ניתוחים רובוטיים - מערכת עיכול עליונה,False
פז מורן,"ד""ר מורן פז",יילוד וגינקולוגיה,רופא ומנתח בכיר ביחידה האנדוסקופית,False
בלינסון נטלה,"ד""ר נטלה בלינסון",רפואה פנימית,מומחית לגריאטריה ורפואה פנימית,True
ברקוביץ שרון,"ד""ר שרון ברקוביץ",,רפואה אסתטית,False
סלבוטסקי אינה,"ד""ר אינה סלבוטסקי",פסיכיאטריה,פסיכיאטריה,True
איזנברג תומר,"ד""ר תומר איזנברג",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
כהן תומר,"ד""ר תומר כהן",אנטומיה פתולוגית,רפואת ספורט אורתופדית,False
פלק רון,"ד""ר רון פלק",פסיכיאטריה,פסיכוגריאטריה,False
כץ אורן,"ד""ר אורן כץ",דרמטולוגיה-מחלות עור ומין,רפואת עור ומין,False
