moh_name,med_name,moh_specialty,med_specialty,spec_match
קירשטיין בוריס,פרופ' בוריס קירשטיין,כירורגיה כללית,כירורגיה כללית,True
אורבוך ערן,"ד""ר ערן אורבוך",מחלות א.א.ג. וכירורגיית ראש-צוואר,אף אוזן גרון וכירורגיית ראש-צוואר,False
שחאדה וסים,"ד""ר וסים שחאדה",דרמטולוגיה-מחלות עור ומין,רפואת שיניים,False
יששכר אסף,"ד""ר אסף יששכר",גסטרואנטרולוגיה,מחלות כבד,False
פרסטר חזי,"ד""ר חזי פרסטר",כירורגיה אורתופדית,אורתופדיית עמוד השדרה,False
אהרונוביץ אנה,"ד""ר אנה אהרונוביץ",דרמטולוגיה-מחלות עור ומין,רפואת עור ומין,False
ארביטמן מרינה,"ד""ר מרינה ארביטמן",פסיכיאטריה,פסיכיאטריה של מבוגרים (מגיל 18),True
לוינסון-תבור אורנה,"ד""ר אורנה לוינסון-תבור",יילוד וגינקולוגיה,"רפואת נשים, סקירת מערכות, דיקור מי שפיר, אולטרסאונד מיילדותי וגינקולוגי, שקיפות עורפית",False
ברנר ברוך,פרופ' ברוך ברנר,אונקולוגיה,אונקולוגיה,True
הראל שירה,"ד""ר שירה הראל",אנדוקרינולוגיה ילדים,אנדוקרינולוגיה ילדים,True
אנגל טל,"ד""ר טל אנגל",רפואה פנימית,גסטרואנטרולוגיה,False
מסארוה עביר,"ד""ר עביר מסארוה",יילוד וגינקולוגיה,אולטראסאונד עוברי וגינקולוגי,False
מזרחי יוסף,פרופ' יוסף מזרחי,יילוד וגינקולוגיה,פוריות,False
הראל טל,"ד""ר טל הראל",רפואה לשיכוך כאב,רפואת כאב,False
טל דוד,"ד""ר דוד טל",רפואה פנימית,כירורגיה פלסטית ואסתטית,False
בולוטין גיל,פרופ' גיל בולוטין,כירורגיה של בית החזה,ניתוחי לב,False
קוגן יונתן,"ד""ר יונתן קוגן",רפואה פנימית,קרדיולוגיה,False
טאהא טארק,"ד""ר טארק טאהא",כירורגיה אורולוגית,אורולוגיה,False
פלדמן גיא,"ד""ר גיא פלדמן",כירורגיה אורתופדית,"טראומה אורתופדית, ניתוחי אגן, אורתופדיה כללית",False
דרוקר אהוד,"ד""ר אהוד דרוקר",רפואה דחופה,יתר לחץ דם,False
אשכול אנה,"ד""ר אנה אשכול",דרמטולוגיה-מחלות עור ומין,רפואת עור למבוגרים וילדים,False
צין דן,"ד""ר דן צין",כירורגיה אורתופדית,כירורגיה אורתופדית,True
רדלר יעל,"ד""ר יעל רדלר",מחלות עיניים,נוירואופתלמולוגיה,False
בלנקשטיין אלכסנדר,פרופ' אלכסנדר בלנקשטיין,כירורגיה אורתופדית,אורתופדיה,False
אשדות אמיר,"ד""ר אמיר אשדות",גריאטריה,גריאטריה ופסיכוגריאטריה,True
סולימאן מחמוד,פרופ' מחמוד סולימאן,,הפרעות קצב הלב,False
מסאלחה מוחמד,"ד""ר מוחמד מסאלחה",מחלות א.א.ג. וכירורגיית ראש-צוואר,כירורגיה אורתופדית,False
לוזינסקי אלינה,"ד""ר אלינה לוזינסקי",דרמטולוגיה-מחלות עור ומין,עור ומין,True
ברוידס ארנון,פרופ' ארנון ברוידס,אלרגולוגיה ואימונולוגיה קלינית,אלרגיה ואימונולוגיה,False
סלעית יריב,"ד""ר יריב סלעית",כירורגית כלי דם,כירורגית כלי דם,True
כבהה מהרן,"ד""ר מהרן כבהה",כירורגיה אורולוגית,אנדרולוגיה (אונות ופריון הגבר),False
דראושה אסעד,"ד""ר אסעד דראושה",כירורגיה אורתופדית,כירורגיה אורתופדית,True
טרנר דניאל,"ד""ר דניאל טרנר",יילוד וגינקולוגיה,רפואת נשים,False
יהודה חיים,"ד""ר חיים יהודה",כירורגיה אורתופדית,כירורגיה אורתופדית של היד והמרפק,True
מקרין ודים,"ד""ר ודים מקרין",כירורגיה כללית,כירורגיה כללית,True
לוטן גד,"ד""ר גד לוטן",כירורגית ילדים,כירורגיה פדיאטרית/כירורגיה של הילד,False
חטיב נור,"ד""ר נור חטיב",מחלות עיניים,"רפואת עיניים, אוקולופלסטיקה, דרכי דמעות, ארובת העין",False
גרינשטין אהוד,"ד""ר אהוד גרינשטין",יילוד וגינקולוגיה,"אורוגינקולוגיה, צניחת אברי האגן, כירורגיה גינקולוגית אנדוסקופית, היסטרוסקופיה",False
נווה דניאלה,"ד""ר דניאלה נווה",יילוד וגינקולוגיה,"גינקולוגיה, מיילדות, פריון ורפואת גיל המעבר",False
רייס ארי,"ד""ר ארי רייס",יילוד וגינקולוגיה,גינקולוגיה אונקולוגית,False
ינון יואב,פרופ' יואב ינון,יילוד וגינקולוגיה,מומחה לגינקולוגיה ומיילדות - רפואת האם והעובר,False
קרן שי,"ד""ר שי קרן",מחלות עיניים,מומחה באוקולופלסטיקה,False
בר אסף,"ד""ר אסף בר",מחלות עיניים,רשתית וניתוחי קטרקט,False
רוזנבלט אורגד,"ד""ר אורגד רוזנבלט",יילוד וגינקולוגיה,"יעוץ וטיפול בבעיות בתחום הגניקולוגיה הכללית  והממאירויות הגניקולוגיות (גניקולוגיה אונקולוגית). רופא מומחה ומנתח בתחומים אלו.  ברור ממצאים לא תקינים במשטח PAP  ובדיקת וירוס הפפילומה (כולל קולפוסקופיה) וטיפול בנגעים טרום ממאירים וממאירים של צוואר הרחם.  יעוץ וניהול במקרים של הריונות מולרים ומחלת הטרופובלסט.  יעוץ, מעקב וטיפול מניעתי בנשים בסיכון מוגבר לממאירויות גניקולוגיות (כגון נשאיות BRCA ומצבי סיכון נוספים).   איבחון וברור ממצאים גניקולוגים חריגים (כגון: דימום חריג, מסות אגניות, ממצאי מישוש חריגים)",False
בלקין אבנר,פרופ' אבנר בלקין,מחלות עיניים,מחלת הגלאוקומה וקטרקט,False
ארליך שי,"ד""ר שי ארליך",רפואת ילדים,רפואת ילדים,True
שגב מירב,"ד""ר מירב שגב",גנטיקה רפואית,גינקולוגיה ומיילדות,False
אלקן אורי,"ד""ר אורי אלקן",מחלות א.א.ג. וכירורגיית ראש-צוואר,אף אוזן גרון וראש צוואר,False
סריד דוד,"ד""ר דוד סריד",אונקולוגיה,אורולוגיה אונקולוגית,False
אופיר דרור,"ד""ר דרור אופיר",כירורגיה אורתופדית,כירורגיה אורתופדית,True
רינת ברק,"ד""ר ברק רינת",כירורגיה אורתופדית,אורתופדיית ילדים,False
קדם אלון,פרופ' אלון קדם,יילוד וגינקולוגיה,"רפואת נשים, שימור פיריון",False
מונטאנו דניאלה,"ד""ר דניאלה מונטאנו",גסטרואנטרולוגיה,"גסטרואנטרולוגיה, אנדוסקופיה בריאטרית, אנדוסקופיה פולשנית",True
פורטנוי תומר,"ד""ר תומר פורטנוי",רדיולוגיה אבחנתית,מומחה לרדיולוגית ילדים ורדיולוגיה אבחנתית מבוגרים,True
רביב אשרת,"ד""ר אשרת רביב",יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
סלאמה פארס,"ד""ר פארס סלאמה",דרמטולוגיה-מחלות עור ומין,"רפואת עור, רפואה אסתטית",False
ניימן ויקטוריה,"ד""ר ויקטוריה ניימן",אונקולוגיה,אונקולוגיה,True
מגון ערן,"ד""ר ערן מגון",,"רפואה אלטרנטיבית, רפואה משלימה, רפואה הוליסטית , תזונה ובריאות, צמחי מרפא, אורחות חיים",False
פרס אלון,פרופ' אלון פרס,רפואה פנימית,המחלות האוטואינפלמטוריות ובמיוחד קדחת ים תיכונית משפחתית,False
הלדנברג איתן,"ד""ר איתן הלדנברג",כירורגיה כללית,כירורגיית כלי דם,False
מנסור אנואר,"ד""ר אנואר מנסור",מחלות א.א.ג. וכירורגיית ראש-צוואר,אף אוזן גרון,False
שרייבר סמדר,"ד""ר סמדר שרייבר",,רפואה אסתטית,False
האוזר רון,פרופ' רון האוזר,יילוד וגינקולוגיה,"מומחה גינקולוגיה ומיילדות, מומחה פריון האישה ומומחה פריון הגבר",False
שי איילת,"ד""ר איילת שי",רפואה פנימית,סרטן השד וגידולים של מערכת המין הנשית,False
קסלמן לאנדרו,"ד""ר לאנדרו קסלמן",יילוד וגינקולוגיה,"גינקולוגיה, מיילדות, אולטרסאונד.",False
אור יובל,"ד""ר יובל אור",יילוד וגינקולוגיה,,False
אריש קארין,"ד""ר קארין אריש",רפואה לשיכוך כאב,מומחית להרדמה ולרפואת כאב,False
פייגין גיא,"ד""ר גיא פייגין",הרדמה,רפואת כאב,False
גולדשטיין אורן,"ד""ר אורן גולדשטיין",רפואת המשפחה,כירורגיה פלסטית ואסתטית,False
שורץ שולמית,"ד""ר שולמית שורץ",מחלות עיניים,"מחלות רשתית , ניתוחי רשתית , ניתוחי קטרקט",False
קשת ליכטנברג שלי,"ד""ר שלי ליכטנברג קשת",נפרולוגיה,נפרולוגיה,True
גוטמן נדב,"ד""ר נדב גוטמן",כירורגיה אורתופדית,אורתופדיית עמוד שדרה,False
לנדוב חגי,"ד""ר חגי לנדוב",דרמטולוגיה-מחלות עור ומין,"רפואת עור, ניתוחי MOHS",False
מלכה אייל,"ד""ר אייל מלכה",,,False
וייסבאך טל,פרופ׳ טל וייסבאך,יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
שפירא סידני,"ד""ר סידני שפירא",כירורגיה אורתופדית,אורתופדיה,False
לצר טל,"ד""ר טל לצר",יילוד וגינקולוגיה,"מיילדות, גניקולוגיה ופריון",False
פינק כרמל,"ד""ר כרמל פינק",אונקולוגיה,"אונקולוגיה, סרטן ריאות",True
פרי רון,"ד""ר רון פרי",כירורגיה כללית,כירורגיה הפטוביליארית,False
אגוזי דנה,פרופ' דנה אגוזי,כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
אופיר דניאל,"ד""ר דניאל אופיר",מחלות עיניים,רפואה אסתטית,False
שחאדה רביע,"ד""ר רביע שחאדה",מחלות אף אוזן וגרון,אף אוזן גרון,False
חבקוק עופר,פרופ' עופר חבקוק,רפואה פנימית,קרדיולוגיה ואי ספיקת לב,False
ייחילביץ נינה,"ד""ר נינה ייחילביץ",גנטיקה רפואית,גנטיקה,True
יפית דניאל,"ד""ר דניאל יפית",מחלות א.א.ג. וכירורגיית ראש-צוואר,א.א.ג ילדים,False
יאיר מיכאל,"ד""ר מיכאל יאיר",גסטרואנטרולוגיה,גסטרואנטרולוגיה,True
נמזוב אחמט,"ד""ר אחמט נמזוב",יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
טימור עידן,"ד""ר עידן טימור",,אסתטיקה רפואית,False
זילבר משה,"ד""ר משה זילבר",רפואה פנימית,מומחה באנדוקרינולוגיה ובסוכרת,False
אברג'ל אברהם,"ד""ר אברהם אברג'ל",יילוד וגינקולוגיה,כירורגיית אף אוזן גרון וניתוחי ראש צוואר,False
אפשטיין אורנה,"ד""ר אורנה אפשטיין",רפואת ילדים,נוירולוגיה ילדים,False
שפירא יעקב,"ד""ר יעקב שפירא",רפואת ילדים,כירורגיה אורתופדית,False
חורי אסעד,"ד""ר אסעד חורי",קרדיולוגיה ילדים,קרדיולוגיה ילדים,True
מחאמיד עלא,"ד""ר עלא מחאמיד",הרדמה,"שיקום, הפרעות שינה",False
קורדליוק סופיה,"ד""ר סופיה קורדליוק",מחלות א.א.ג. וכירורגיית ראש-צוואר,ניתוחי אף וסינוסים,False
עטאללה מזהר,"ד""ר מזהר עטאללה",מחלות עיניים,רפואת עיניים - מחלות רשתית וזגוגית העין,False
סגל עוז,"ד""ר עוז סגל",דרמטולוגיה-מחלות עור ומין,"רפואת עור ומין, רפואת שיער וקרקפת בתל אביב",False
וולקוב מרינה,"ד""ר מרינה וולקוב",רפואת המשפחה,רופאת שיניים,False
דרורי טלי,"ד""ר טלי דרורי",נוירולוגיה,נוירולוגיה,True
דנון דוד,"ד""ר דוד דנון",יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
מרום טל,פרופ׳ טל מרום,מחלות א.א.ג. וכירורגיית ראש-צוואר,אף אוזן גרון,False
טולדנו יואל,"ד""ר יואל טולדנו",אנדוקרינולוגיה,אנדוקרינולוגיה,True
ותד וסים,"ד""ר וסים ותד",מחלות א.א.ג. וכירורגיית ראש-צוואר,"כירורגיית האוזן ושיקום השמיעה, סחרחורת וטנטון",False
דראושה פארס,"ד""ר פארס דראושה",מחלות ריאה,מחלות ריאה,True
גבע שחר,"ד""ר שחר גבע",,רפואה אסתטית,False
שור שירה,"ד""ר שירה שור",גסטרואנטרולוגיה,גסטרואנטרולוגיה,True
קוראקין ויקטור,"ד""ר ויקטור קוראקין",כירורגיה כללית,כירורגיה כללית,True
ליבנה ורד,"ד""ר ורד ליבנה",נוירולוגיה,נוירולוגיה,True
ויס אמיר,"ד""ר אמיר ויס",יילוד וגינקולוגיה,פיריון האישה,False
שטפלר פטריק,"ד""ר פטריק שטפלר",רפואת ילדים,פולמונולוג ילדים,False
איתי עמית,"ד""ר עמית איתי",אונקולוגיה מסלול אונקולוגיה רפואית,אונקולוגיה קלינית,False
איצקזון אלק,"ד""ר אלק איצקזון",,טיפול בכאב,False
גרופר אבישי,פרופ' אבישי גרופר,רפואה פנימית,מחלות לב ואי ספיקת לב,False
נייזוב אוקסנה,"ד""ר אוקסנה נייזוב",רפואה פנימית,רפואה אסתטית,False
שוורץ איתי,"ד""ר איתי שוורץ",,רפואה אסתטית,False
קסלמן ענת,"ד""ר ענת קסלמן",רפואה דחופה,רפואה אסתטית,False
מרקל דרורית,"ד""ר דרורית מרקל",רפואה פנימית,המטולוגיה,False
רגב קרן,"ד""ר קרן רגב",נוירולוגיה,נוירולוגיה,True
דלאל אדם,"ד""ר אדם דלאל",דרמטולוגיה-מחלות עור ומין,עור ומין,True
רמר אריק,"ד""ר אריק רמר",מחלות א.א.ג. וכירורגיית ראש-צוואר,רפואת אף אוזן גרון,False
שמואלי ענת,"ד""ר ענת שמואלי",יילוד וגינקולוגיה,מיילדות וגינקולוגיה,False
שפיגל אפרת,"ד""ר אפרת שפיגל",יילוד וגינקולוגיה,מיילדות וגינקולוגיה,False
שני אבי,"ד""ר אבי שני",,אסתטיקה רפואית,False
זהבי אילן,"ד""ר אילן זהבי",רפואת ילדים,גסטרואנטרולוגיה,False
שראל עודד,"ד""ר עודד שראל",,חוות דעת רפואית משפטית,False
וורשבסקי אנטון,"ד""ר אנטון וורשבסקי",מחלות א.א.ג. וכירורגיית ראש-צוואר,אף אוזן גרון,False
סיאם איהאב,"ד""ר איהאב סיאם",דרמטולוגיה-מחלות עור ומין,רפואת עור ואסתטיקה,False
לוריא שולמית,"ד""ר שולמית לוריא",רפואת המשפחה,רפואה פונקציונאלית,False
חמדני גלעד,"ד""ר גלעד חמדני",נפרולוגיה ילדים,נפרולוגיה ילדים,True
אליאן דן,"ד""ר דן אליאן",קרדיולוגיה,קרדיולוגיה,True
מנו רועי,פרופ' רועי מנו,כירורגיה אורולוגית,"כירורגיה אורולוגית, אורולוגיה אונקולוגית",True
כהן לילך,"ד""ר לילך כהן",יילוד וגינקולוגיה,"גינקולוגיה, אולטרסאונד מיילדות וגניקולוגיה",False
בלום יוסף,"ד""ר יוסף בלום",מחלות אף אוזן וגרון,רפואת אף אוזן גרון וראש צוואר,False
שרייבר חנוך,"ד""ר חנוך שרייבר",יילוד וגינקולוגיה,אולטרה סאונד במיילדות וגינקולוגיה,False
בראנסי עאמר,"ד""ר עאמר בראנסי",כירורגיה פלסטית ואסתטית,"כירורגיה פלסטית, אסתטית ומשחזרת",False
וזוז סוזאן,"ד""ר סוזאן וזוז",הרדמה,טיפול בכאב והרדמה,True
נבו עמיחי,"ד""ר עמיחי נבו",כירורגיה אורולוגית,"אורולוגיה,אנדואורולוגיה",False
אידסס קרלוס,"ד""ר קרלוס אידסס",דרמטולוגיה-מחלות עור ומין,רפואת עור ומין,False
שגיא עמית,"ד""ר עמית שגיא",כירורגיה אורתופדית,אורתופדיה,False
בראונר רן,"ד""ר רן בראונר",נוירולוגיה,,False
חזן דוד,פרופ' דוד חזן,כירורגיה כללית,"כירורגיה כללית, לפרוסקופית ורובוטית",True
גיבנבר אוריאל,"ד""ר אוריאל גיבנבר",כירורגיה אורתופדית,אורתופדיה,False
יונס מוחמד,"ד""ר מוחמד יונס",רפואה פנימית,כירורגיה של היד ומיקרוכירורגיה,False
עטר דן,פרופ' דן עטר,כירורגיה אורתופדית,אורתופדיה,False
רורליך מונל,"ד""ר מונל רורליך",רפואה תעסוקתית,רפואה תעסוקתית,True
ארליך ירון,"ד""ר ירון ארליך",כירורגיה אורולוגית,אורולוגיה,False
גולן שי,פרופ' שי גולן,כירורגיה אורולוגית,אורולוגיה אונקולוגית,False
פולק אילה,פרופ' אילה פולק,מחלות עיניים,רפואת עיניים,False
מלמוד ברנרדו,"ד""ר ברנרדו מלמוד",רפואה פנימית,גסטרואנטרולוגיה,False
סקוירסקי סיון,"ד""ר סיון סקוירסקי",יילוד וגינקולוגיה,גינקולוגיה ופריון האישה,False
אהרוני פינחס,"ד""ר פינחס אהרוני",יילוד וגינקולוגיה,גינקולוגיה ומחלות עריה,False
ביאדסה אמין,"ד""ר אמין ביאדסה",מחלות א.א.ג. וכירורגיית ראש-צוואר,אף אוזן גרון,False
גוטמן מרדכי,פרופ' מרדכי גוטמן,כירורגיה כללית,כירורגית שד,False
בטומסקי מוריס,"ד""ר מוריס בטומסקי",כירורגיה כללית,כירורגיה כללית,True
ברוורמן לאוניד,"ד""ר לאוניד ברוורמן",פסיכיאטריה,פסיכיאטריה,True
גבן ויסאם,"ד""ר ויסאם גבן",רפואה פנימית,"גריאטריה,פסיכוגריאטריה",False
קפלן יהונתן,"ד""ר יהונתן קפלן",רפואה פנימית,"רפואת עור, ניתוחי מוז (Mohs) וכירורגיה דרמטולוגית",False
פיינמן ריבה,"ד""ר ריבה פיינמן",רפואה פנימית,המטולוגיה,False
קורד רמזי,"ד""ר רמזי קורד",רפואה פנימית,גריאטריה,False
לוטן איתי,פרופ' איתי לוטן,נוירולוגיה,נוירולוגיה,True
ספקטור סרגיי,פרופ' סרגיי ספקטור,נוירוכירורגיה,"נוירוכירורגיה - ניתוחי ראש, מוח ובסיס גולגולת",True
כהן אייל,"ד""ר אייל כהן",,רפואת עיניים,False
פלדמן אילן,"ד""ר אילן פלדמן",מחלות עיניים,"מומחה בניתוחי עפעפיים, דרכי דמעות וארובה",False
קסיס וליד,"ד""ר וליד קסיס",כירורגיה כללית,כירורגיה לפרוסקופית מתקדמת ובריאטרית (ניתוחי השמנת יתר ),False
וולקוב נטליה,"ד""ר נטליה וולקוב",יילוד וגינקולוגיה,"רפואת נשים ,יילוד וגינקולוגיה",True
ספיר אלי,"ד""ר אלי ספיר",אונקולוגיה  מסלול רדיותרפיה,אונקולוגיה קרינתית (רדיותרפיה),False
שדה בן,"ד""ר בן שדה",רפואה פנימית,קרדיולוגיה,False
אורן אסף,"ד""ר אסף אורן",רפואת ילדים,אנדוקרינולוגיה ילדים,False
פומפ גיל,"ד""ר גיל פומפ",יילוד וגינקולוגיה,מעקב הריון בסיכון,False
שליבקוביץ אסף,"ד""ר אסף שליבקוביץ",,"רפואה אסתטית, אסתטיקת פנים",False
צור תמר,"ד""ר תמר צור",יילוד וגינקולוגיה,רפואת נשים,False
לוי יחזקאל,"ד""ר יחזקאל לוי",מחלות עיניים,ניתוחי קטרקט,False
אוטרמסקי ערן,"ד""ר ערן אוטרמסקי",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית אסתטית ומשחזרת,False
מסארוה מוחמד,"ד""ר מוחמד מסארוה",גסטרואנטרולוגיה,גסטרואנטרולוגיה,True
דומצ'יק סרגיי,"ד""ר סרגיי דומצ'יק",כירורגיה כללית,כירורגיה כללית,True
יאסין עלי,"ד""ר עלי יאסין",כירורגיה אורתופדית,אורתופדיה ברכיים,False
אלפסי הילה,"ד""ר הילה אלפסי",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
שמש גבי,"ד""ר גבי שמש",מחלות עיניים,רפואת עיניים,False
מאיר טליה,"ד""ר טליה מאיר",דרמטולוגיה-מחלות עור ומין,רפואת עור ורפואה אסתטית,False
ריבו לריסה,"ד""ר לריסה ריבו",אונקולוגיה מסלול אונקולוגיה רפואית,סרטן השד,False
גולן רון,"ד""ר רון גולן",,רפואת שיניים,False
בוקשטיין פליקס,"ד""ר פליקס בוקשטיין",נוירולוגיה,"נוירולוגיה, נוירו-אונקולוגיה",True
סמור רמי,"ד""ר רמי סמור",יילוד וגינקולוגיה,רפואת נשים,False
זילברברג ערן,"ד""ר ערן זילברברג",יילוד וגינקולוגיה,פוריות וטיפולי פריון,False
יעקובי אלונה,"ד""ר אלונה יעקובי",מחלות עיניים,רפואת עיניים - אוקולופלסטיקה,False
לנדאו גבע,"ד""ר גבע לנדאו",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
טודור אדריאן,"ד""ר אדריאן טודור",כירורגיה אורתופדית,"אורתופדיה, אורתופדית ילדים",False
בסאילוב אולגה,"ד""ר אולגה בסאילוב",,רופאה כללית,False
גרינברג רומן,"ד""ר רומן גרינברג",,אורולוגיה,False
סיבוני גונן,"ד""ר גונן סיבוני",,רפואה אסתטית ואסתטית פנים,False
בן-גל אופיר,"ד""ר אופיר בן-גל",כירורגיה אורתופדית,"כירורגיה אורתופדית ואורתופדיה אונקולוגית, אורתופדיה כללית",True
רוזנטל רון,"ד""ר רון רוזנטל",כירורגיה אורתופדית,אורתופדית ספורט ופציעות ברך,False
טליסמן רן,"ד""ר רן טליסמן",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
אלון גדי,"ד""ר גדי אלון",פסיכיאטריה,פסיכיאטריה,True
פריאל אילת,"ד""ר אילת פריאל",מחלות עיניים,אוקולופלסטיקה,False
חובל דוד,"ד""ר דוד חובל",רפואה פנימית,גסטרואנטרולוגיה,False
דקלו שניר,"ד""ר שניר דקלו",כירורגיה אורולוגית,אורולוגיה ואנדרולוגיה,False
לוי עידן,"ד""ר עידן לוי",גסטרואנטרולוגיה,גסטרואנטרולוגיה,True
גל אורן,"ד""ר אורן גל",רפואה פנימית,גסטרואנטרולוגיה,False
פלדברין זאב,"ד""ר זאב פלדברין",כירורגיה אורתופדית,אורתופדיה,False
עצמון רן,"ד""ר רן עצמון",כירורגיה אורתופדית,"מנתח ירכיים, ברכיים, פציעות ספורט, ארתרוסקופיה וניתוחים משמרי מפרק",False
דקל יורם,"ד""ר יורם דקל",כירורגיה אורולוגית,כירורגיה אורולוגית,True
שגב לי,"ד""ר לי שגב",יילוד וגינקולוגיה,רפואת נשים,False
בונדרנקו מרינה,"ד""ר מרינה בונדרנקו",רפואה פנימית,מחלות ריאה,False
תם גיא,"ד""ר גיא תם",מחלות עיניים,עיניים- נוירואופתלמולוגיה,False
ספקוטי יהודה,"ד""ר יהודה ספקוטי",נוירולוגיה,אפילפסיה,False
סעדיה שאדי,"ד""ר שאדי סעדיה",כירורגיה אורתופדית,רפואת ספורט אורתופדית,False
פרצ'יק רות,"ד""ר רות פרצ'יק",אנדוקרינולוגיה,אנדוקרינולוגיה,True
רוטנברג יקיר,פרופ' יקיר רוטנברג,אונקולוגיה מסלול אונקולוגיה רפואית,אונקולוגיה ואונקוגריאטריה,False
גונן ליאור,"ד""ר ליאור גונן",נוירוכירורגיה,נוירוכירורגיה,True
מורד יאיר,פרופ' יאיר מורד,מחלות עיניים,רפואת עיניים בילדים,False
יניקייב דמיטרי,פרופ' דמיטרי יניקייב,כירורגיה אורולוגית,כירורגיה אונקו-אורולוגית,False
אליאס שהם,"ד""ר שהם אליאס",כירורגיה אורתופדית,ניתוחי ברך ורפואת ספורט,False
אלגרט קטיה,"ד""ר קטיה אלגרט",מחלות א.א.ג. וכירורגיית ראש-צוואר,אף אוזן גרון ומחלות ראש צוואר בילדים ומבוגרים,False
זידאן מחמוד,"ד""ר מחמוד זידאן",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית ואסתטית,True
שפירא ינון,"ד""ר ינון שפירא",מחלות עיניים,"אוקולופלסטיקה, דרכי דמעות, וארובת העין",False
אמסלם חגי,"ד""ר חגי אמסלם",יילוד וגינקולוגיה,רפואת נשים,False
אסדי אחמד,"ד""ר אחמד אסדי",,"כירורגיה לפרוסקופית מתקדמת וכללית , כירורגיה בריאטרית",False
בכר רז,"ד""ר רז בכר",יילוד וגינקולוגיה,אולטרסאונד מיילדותי וגינקולוגי,False
דר נינה,"ד""ר נינה דר",פסיכיאטריה,פסיכיאטריה כללית של המבוגר,True
סטרול עידן,"ד""ר עידן סטרול",,אסתטיקה רפואית,False
זיסמן אריאל,"ד""ר אריאל זיסמן",כירורגיה אורולוגית,אורולוגיה,False
שמואלי יוסף,"ד""ר יוסף שמואלי",כירורגיה אורולוגית,כירורגיה אורולוגית,True
חוסיין ענאן,"ד""ר ענאן חוסיין",כירורגיה אורולוגית,אנדרולוגיה (פריון הגבר ותפקוד מיני),False
ביטון יצחק,פרופ' יצחק ביטון,רפואה פנימית,הפרעות קצב,False
ביאר איתי,"ד""ר איתי ביאר",,רפואה אסתטית ושיקום שיער,False
מטלון שי,"ד""ר שי מטלון",גסטרואנטרולוגיה,גסטרואנטרולוגיה,True
מיכלסון מיכאל,"ד""ר מיכאל מיכלסון",רפואה תעסוקתית,רפואה תעסוקתית,True
לנדאו יאיר,"ד""ר יאיר לנדאו",כירורגיה אורתופדית,"כירורגיה אורתופדית, כירורגיה של היד והמרפק ומיקרוכירורגיה",True
אוסטרובסקי דמיטרי,"ד""ר דמיטרי אוסטרובסקי",מחלות אף אוזן וגרון,רינולוגיה (אף וסינוסים),False
לוי נסים,"ד""ר נסים לוי",רפואת ילדים,רפואת שיניים,False
